1737,"select specObjID, objID, ra, dec, z, petroMag_r-extinction_r as rpmag   from SpecPhotoAll where ra between # and # and dec between # and # and z between # and # and type = #"
2019-06-27 23:46:00,58
2019-06-27 23:47:00,123
2019-06-27 23:48:00,128
2019-06-27 23:49:00,132
2019-06-27 23:50:00,138
2019-06-27 23:51:00,137
2019-06-27 23:52:00,130
2019-06-27 23:53:00,127
2019-06-27 23:54:00,133
2019-06-27 23:55:00,137
2019-06-27 23:56:00,136
2019-06-27 23:57:00,138
2019-06-27 23:58:00,125
2019-06-27 23:59:00,95
