4,"SELECT    p.objid,p.field,p.ra,p.dec,p.insideMask,p.flags,p.probPSF,p.PSFMag_r, p.PSFMagErr_r,p.modelMag_r,p.modelMagErr_r,p.flags_r,p.type_r,p.PSFfwhm_r,    s.specobjid,s.z as redshift_spec,s.zErr as redshift_specErr,    s.zWarning,p1.ObjID as ID_match_with_Galaxy, p1.z as redshift_phot, p1.zErr as redshift_photErr into mydb.DR1#new     FROM PhotoObj AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid    JOIN Photoz AS p1 ON p1.ObjID = s.bestobjid WHERE s.class = &&&"
2019-06-27 04:59:00,2
2019-06-27 05:07:00,1
2019-06-27 05:09:00,1
