3,"select # ,cModelMag_u, cModelMag_g, cModelMag_r, cModelMag_i from specPhoto, galSpecInfo where ra BETWEEN # and # AND dec BETWEEN # and # AND targettype = QSO"
2019-06-27 00:44:00,2
2019-06-27 00:50:00,1
