318,"SELECT DISTINCT p.ra, p.dec, p.type, p.mode, p.modelMag_r FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-27 18:24:00,6
2019-06-27 18:25:00,7
2019-06-27 18:26:00,8
2019-06-27 18:27:00,5
2019-06-27 18:28:00,4
2019-06-27 18:29:00,8
2019-06-27 18:30:00,5
2019-06-27 18:31:00,8
2019-06-27 18:32:00,7
2019-06-27 18:33:00,6
2019-06-27 18:34:00,7
2019-06-27 18:35:00,6
2019-06-27 18:36:00,4
2019-06-27 18:37:00,7
2019-06-27 18:38:00,3
2019-06-27 18:39:00,5
2019-06-27 18:40:00,7
2019-06-27 18:41:00,7
2019-06-27 18:42:00,6
2019-06-27 18:43:00,4
2019-06-27 18:44:00,7
2019-06-27 18:45:00,6
2019-06-27 18:46:00,7
2019-06-27 18:47:00,6
2019-06-27 18:48:00,6
2019-06-27 18:49:00,8
2019-06-27 18:50:00,5
2019-06-27 18:51:00,7
2019-06-27 18:52:00,7
2019-06-27 18:53:00,3
2019-06-27 18:54:00,7
2019-06-27 18:55:00,7
2019-06-27 18:56:00,5
2019-06-27 18:57:00,5
2019-06-27 18:58:00,6
2019-06-27 18:59:00,5
2019-06-27 19:00:00,7
2019-06-27 19:01:00,9
2019-06-27 19:02:00,4
2019-06-27 19:03:00,8
2019-06-27 19:04:00,5
2019-06-27 19:05:00,7
2019-06-27 19:06:00,5
2019-06-27 19:07:00,5
2019-06-27 19:08:00,7
2019-06-27 19:09:00,6
2019-06-27 19:10:00,7
2019-06-27 19:11:00,7
2019-06-27 19:12:00,9
2019-06-27 19:13:00,4
2019-06-27 19:14:00,6
2019-06-27 19:15:00,5
