44,"select top #  subClass, elodieObject, nsa_sersic_mass, elodieTEff from   specObj, mangatarget where   subClass = WD AND"
2019-06-27 11:02:00,1
2019-06-27 11:03:00,4
2019-06-27 11:05:00,2
2019-06-27 11:06:00,2
2019-06-27 11:07:00,2
2019-06-27 11:09:00,1
2019-06-27 11:14:00,2
2019-06-27 11:15:00,2
2019-06-27 11:16:00,3
2019-06-27 11:17:00,1
2019-06-27 11:19:00,1
2019-06-27 11:20:00,1
2019-06-27 11:21:00,2
2019-06-27 11:22:00,2
2019-06-27 11:23:00,2
2019-06-27 11:26:00,1
2019-06-27 11:27:00,1
2019-06-27 11:28:00,1
2019-06-27 11:30:00,2
2019-06-27 11:39:00,2
2019-06-27 11:40:00,3
2019-06-27 11:41:00,3
2019-06-27 11:42:00,1
2019-06-27 11:43:00,1
2019-06-27 11:44:00,1
