8,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from galaxy p, dbo.fgetNearByObjEq( #, #,#) n where p.objid=n.objid"
2019-06-27 08:24:00,1
2019-06-27 08:25:00,5
2019-06-27 08:43:00,2
