36,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-06-27 01:00:00,1
2019-06-27 01:01:00,1
2019-06-27 01:16:00,1
2019-06-27 01:17:00,5
2019-06-27 01:18:00,4
2019-06-27 03:06:00,1
2019-06-27 05:22:00,1
2019-06-27 10:22:00,1
2019-06-27 14:09:00,1
2019-06-27 16:01:00,1
2019-06-27 16:02:00,2
2019-06-27 16:03:00,3
2019-06-27 16:14:00,1
2019-06-27 17:57:00,1
2019-06-27 17:58:00,1
2019-06-27 18:12:00,1
2019-06-27 18:23:00,1
2019-06-27 18:39:00,1
2019-06-27 19:24:00,1
2019-06-27 19:35:00,1
2019-06-27 19:48:00,1
2019-06-27 20:18:00,1
2019-06-27 20:19:00,2
2019-06-27 20:20:00,1
2019-06-27 22:18:00,1
