101,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-06-27 03:52:00,1
2019-06-27 03:53:00,1
2019-06-27 04:02:00,1
2019-06-27 04:03:00,1
2019-06-27 04:05:00,2
2019-06-27 04:07:00,1
2019-06-27 04:08:00,1
2019-06-27 04:18:00,1
2019-06-27 04:55:00,1
2019-06-27 04:57:00,1
2019-06-27 05:01:00,1
2019-06-27 07:07:00,1
2019-06-27 09:33:00,1
2019-06-27 09:34:00,1
2019-06-27 09:39:00,1
2019-06-27 09:40:00,1
2019-06-27 09:42:00,1
2019-06-27 13:01:00,2
2019-06-27 13:05:00,8
2019-06-27 13:06:00,14
2019-06-27 13:09:00,4
2019-06-27 13:11:00,12
2019-06-27 13:12:00,9
2019-06-27 13:13:00,1
2019-06-27 13:15:00,5
2019-06-27 13:16:00,2
2019-06-27 13:19:00,4
2019-06-27 15:00:00,1
2019-06-27 15:23:00,1
2019-06-27 16:55:00,1
2019-06-27 19:13:00,2
2019-06-27 19:35:00,1
2019-06-27 19:42:00,1
2019-06-27 19:45:00,1
2019-06-27 19:49:00,1
2019-06-27 19:51:00,2
2019-06-27 20:19:00,1
2019-06-27 20:58:00,1
2019-06-27 21:17:00,1
2019-06-27 21:21:00,1
2019-06-27 21:54:00,3
2019-06-27 22:02:00,2
2019-06-27 22:16:00,1
2019-06-27 23:48:00,1
