428,select * from Photoz where objid=#
2019-10-07 00:02:00,1
2019-10-07 00:03:00,1
2019-10-07 00:49:00,2
2019-10-07 00:50:00,1
2019-10-07 01:10:00,1
2019-10-07 01:23:00,1
2019-10-07 01:29:00,1
2019-10-07 01:46:00,1
2019-10-07 01:48:00,1
2019-10-07 01:49:00,1
2019-10-07 01:54:00,1
2019-10-07 01:57:00,1
2019-10-07 01:58:00,1
2019-10-07 02:00:00,1
2019-10-07 02:05:00,1
2019-10-07 02:27:00,1
2019-10-07 04:18:00,1
2019-10-07 05:45:00,1
2019-10-07 06:49:00,1
2019-10-07 06:51:00,1
2019-10-07 07:12:00,1
2019-10-07 07:28:00,1
2019-10-07 07:35:00,1
2019-10-07 07:46:00,1
2019-10-07 07:55:00,1
2019-10-07 07:58:00,1
2019-10-07 07:59:00,1
2019-10-07 08:02:00,1
2019-10-07 08:17:00,1
2019-10-07 08:44:00,1
2019-10-07 08:47:00,1
2019-10-07 08:56:00,1
2019-10-07 09:10:00,1
2019-10-07 09:23:00,1
2019-10-07 09:36:00,1
2019-10-07 09:37:00,1
2019-10-07 09:39:00,1
2019-10-07 09:40:00,1
2019-10-07 09:43:00,1
2019-10-07 09:45:00,1
2019-10-07 09:55:00,1
2019-10-07 10:03:00,1
2019-10-07 10:12:00,1
2019-10-07 10:37:00,1
2019-10-07 10:43:00,1
2019-10-07 10:59:00,1
2019-10-07 11:03:00,1
2019-10-07 11:24:00,1
2019-10-07 11:30:00,1
2019-10-07 11:31:00,1
2019-10-07 12:11:00,1
2019-10-07 12:33:00,1
2019-10-07 12:47:00,1
2019-10-07 13:01:00,1
2019-10-07 13:38:00,1
2019-10-07 14:04:00,1
2019-10-07 15:02:00,1
2019-10-07 15:09:00,1
2019-10-07 15:12:00,1
2019-10-07 15:18:00,1
2019-10-07 15:30:00,1
2019-10-07 15:41:00,1
2019-10-07 15:56:00,1
2019-10-07 16:03:00,1
2019-10-07 16:19:00,1
2019-10-07 16:36:00,1
2019-10-07 16:39:00,1
2019-10-07 16:47:00,1
2019-10-07 16:49:00,1
2019-10-07 16:52:00,1
2019-10-07 16:56:00,1
2019-10-07 17:04:00,1
2019-10-07 17:32:00,1
2019-10-07 17:38:00,1
2019-10-07 17:44:00,1
2019-10-07 18:12:00,1
2019-10-07 18:13:00,1
2019-10-07 18:50:00,1
2019-10-07 19:34:00,29
2019-10-07 19:35:00,36
2019-10-07 19:36:00,5
2019-10-07 19:46:00,7
2019-10-07 19:47:00,37
2019-10-07 19:48:00,36
2019-10-07 19:49:00,37
2019-10-07 19:50:00,37
2019-10-07 19:51:00,32
2019-10-07 19:55:00,1
2019-10-07 20:21:00,1
2019-10-07 20:37:00,1
2019-10-07 20:53:00,1
2019-10-07 20:57:00,1
2019-10-07 20:58:00,1
2019-10-07 21:11:00,1
2019-10-07 21:35:00,2
2019-10-07 21:47:00,1
2019-10-07 21:50:00,3
2019-10-07 21:51:00,37
2019-10-07 21:52:00,36
2019-10-07 21:53:00,1
2019-10-07 22:02:00,1
2019-10-07 22:32:00,1
2019-10-07 22:52:00,1
2019-10-07 23:31:00,1
2019-10-07 23:46:00,1
2019-10-07 23:48:00,1
