114,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-10-07 01:39:00,1
2019-10-07 07:43:00,1
2019-10-07 07:56:00,1
2019-10-07 10:06:00,1
2019-10-07 10:13:00,1
2019-10-07 10:15:00,4
2019-10-07 10:17:00,1
2019-10-07 10:20:00,1
2019-10-07 10:21:00,1
2019-10-07 10:22:00,1
2019-10-07 10:24:00,1
2019-10-07 10:36:00,1
2019-10-07 10:37:00,1
2019-10-07 11:35:00,2
2019-10-07 11:51:00,1
2019-10-07 11:52:00,1
2019-10-07 11:53:00,2
2019-10-07 11:54:00,3
2019-10-07 11:55:00,1
2019-10-07 11:56:00,1
2019-10-07 11:57:00,2
2019-10-07 11:58:00,2
2019-10-07 11:59:00,2
2019-10-07 12:00:00,2
2019-10-07 12:01:00,1
2019-10-07 12:03:00,1
2019-10-07 12:04:00,2
2019-10-07 12:05:00,4
2019-10-07 12:06:00,4
2019-10-07 12:07:00,3
2019-10-07 12:08:00,2
2019-10-07 12:09:00,1
2019-10-07 12:11:00,1
2019-10-07 12:12:00,5
2019-10-07 12:17:00,1
2019-10-07 12:19:00,1
2019-10-07 12:20:00,1
2019-10-07 12:21:00,1
2019-10-07 12:22:00,2
2019-10-07 12:24:00,3
2019-10-07 12:25:00,3
2019-10-07 12:26:00,3
2019-10-07 12:27:00,4
2019-10-07 12:47:00,1
2019-10-07 12:50:00,3
2019-10-07 13:20:00,1
2019-10-07 13:21:00,1
2019-10-07 15:41:00,1
2019-10-07 16:43:00,1
2019-10-07 17:08:00,1
2019-10-07 17:10:00,1
2019-10-07 17:11:00,1
2019-10-07 17:12:00,2
2019-10-07 17:13:00,1
2019-10-07 17:16:00,1
2019-10-07 17:17:00,1
2019-10-07 17:18:00,2
2019-10-07 17:22:00,1
2019-10-07 17:24:00,2
2019-10-07 17:25:00,2
2019-10-07 17:26:00,3
2019-10-07 17:27:00,4
2019-10-07 19:12:00,1
2019-10-07 20:24:00,1
2019-10-07 20:35:00,1
2019-10-07 20:38:00,1
2019-10-07 20:52:00,1
2019-10-07 23:31:00,1
