792,"SELECT top # ra,dec,u,g,r,i,z,GNOE.distance*# FROM PhotoObj as PT JOIN dbo.fGetNearbyObjEq(#,#,#) as GNOE on PT.objID = GNOE.objID ORDER BY GNOE.distance"
2019-10-07 18:50:00,25
2019-10-07 18:51:00,39
2019-10-07 18:52:00,36
2019-10-07 18:56:00,13
2019-10-07 18:57:00,44
2019-10-07 18:58:00,41
2019-10-07 18:59:00,2
2019-10-07 19:01:00,4
2019-10-07 19:02:00,44
2019-10-07 19:03:00,44
2019-10-07 19:04:00,8
2019-10-07 19:05:00,17
2019-10-07 19:06:00,25
2019-10-07 19:07:00,40
2019-10-07 19:08:00,10
2019-10-07 19:14:00,20
2019-10-07 19:15:00,43
2019-10-07 19:16:00,37
2019-10-07 19:43:00,21
2019-10-07 19:44:00,44
2019-10-07 19:45:00,35
2019-10-07 20:22:00,34
2019-10-07 20:23:00,43
2019-10-07 20:24:00,23
2019-10-07 20:25:00,26
2019-10-07 20:26:00,42
2019-10-07 20:27:00,32
