17,"SELECT TOP # poa.objID, poa.ra, poa.dec, poa.modelMag_r, poa.cx, poa.cy, poa.cz, pz.z, pz.synthU, pz.synthG, pz.synthR, pz.synthI, pz.synthZ FROM PhotoObjAll as poa, PhotoZ as pz WHERE poa.objID = pz.objID AND pz.z>#"
2019-10-07 13:38:00,2
2019-10-07 13:42:00,2
2019-10-07 13:44:00,1
2019-10-07 13:45:00,1
2019-10-07 13:47:00,1
2019-10-07 14:20:00,1
2019-10-07 14:31:00,1
2019-10-07 14:37:00,1
2019-10-07 14:39:00,1
2019-10-07 14:40:00,1
2019-10-07 14:54:00,1
2019-10-07 14:57:00,1
2019-10-07 15:11:00,1
2019-10-07 15:13:00,1
2019-10-07 16:22:00,1
