4,"SELECT TOP # poa.objID, poa.ra, poa.dec, poa.modelMag_r, pz.z, pz.synthU, pz.synthU, pz.synthG, pz.synthR, pz.synthI, pz.synthZ FROM PhotoObjAll as poa, PhotoZ as pz WHERE poa.objID = pz.objID"
2019-10-07 13:01:00,2
2019-10-07 13:22:00,1
2019-10-07 13:23:00,1
