16,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, ISNULL(fp.nfirstmatch,#)  FROM (   SELECT run, sum(primaryArea) AS runarea,  #e6*avg(power(cast(#. as float),#*sky_r)) as avg_sky_muJy  FROM Field  GROUP BY run  ) AS fld  LEFT OUTER JOIN (   SELECT p.run, count(*) AS nfirstmatch  FROM FIRST AS fm  INNER JOIN photoprimary as p  ON p.objid=fm.objid  GROUP BY p.run  ) AS fp  ON fld.run=fp.run  ORDER BY fld.run"
2019-12-04 07:55:00,1
2019-12-04 07:57:00,1
2019-12-04 08:14:00,1
2019-12-04 08:31:00,1
2019-12-04 08:39:00,1
2019-12-04 08:49:00,1
2019-12-04 08:58:00,1
2019-12-04 09:15:00,1
2019-12-04 11:13:00,1
2019-12-04 14:22:00,1
2019-12-04 20:33:00,1
2019-12-04 23:25:00,1
2019-12-04 23:27:00,1
2019-12-04 23:35:00,1
2019-12-04 23:44:00,1
2019-12-04 23:47:00,1
