2,"SELECT top #   p.objID,    p.ra,    p.dec,    p.petroMag_g,    p.petroMag_r,    p.petroMag_i,   s.z FROM PhotoObjAll p JOIN SpecObjAll_tab s ON s.specObjID = p.objID JOIN dbo.fGetNearbyObjEq(#,#,#) n ON n.objID = p.objID WHERE    s.class = &&&"
2019-12-04 04:12:00,1
2019-12-04 04:14:00,1
