720,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-12-04 12:35:00,15
2019-12-04 12:36:00,32
2019-12-04 12:37:00,32
2019-12-04 12:38:00,31
2019-12-04 12:39:00,28
2019-12-04 12:40:00,28
2019-12-04 12:41:00,26
2019-12-04 12:42:00,27
2019-12-04 12:43:00,25
2019-12-04 12:44:00,24
2019-12-04 12:45:00,19
2019-12-04 12:46:00,20
2019-12-04 12:47:00,22
2019-12-04 12:48:00,20
2019-12-04 12:49:00,21
2019-12-04 12:50:00,18
2019-12-04 12:51:00,18
2019-12-04 12:52:00,17
2019-12-04 12:53:00,18
2019-12-04 12:54:00,17
2019-12-04 12:55:00,16
2019-12-04 12:56:00,18
2019-12-04 12:57:00,16
2019-12-04 12:58:00,16
2019-12-04 12:59:00,14
2019-12-04 13:00:00,14
2019-12-04 13:01:00,14
2019-12-04 13:02:00,15
2019-12-04 13:03:00,15
2019-12-04 13:04:00,16
2019-12-04 13:05:00,14
2019-12-04 13:06:00,16
2019-12-04 13:07:00,14
2019-12-04 13:08:00,15
2019-12-04 13:09:00,15
2019-12-04 13:10:00,14
2019-12-04 13:11:00,13
2019-12-04 13:12:00,7
