18,"SELECT p.objId,p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, p.mjd, s.fiberid, pz.absMagU, pz.absMagG, pz.absMagR, pz.absMagI FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid    JOIN Photoz as pz ON pz.objID = p.objID WHERE   p.petror9#_r > #   and p.ra between # and #   and s.z <#   and p.g < #"
2019-12-04 06:35:00,1
2019-12-04 07:00:00,1
2019-12-04 09:48:00,1
2019-12-04 09:49:00,1
2019-12-04 09:51:00,1
2019-12-04 10:40:00,1
2019-12-04 10:48:00,1
2019-12-04 10:49:00,1
2019-12-04 11:06:00,2
2019-12-04 11:11:00,1
2019-12-04 11:15:00,1
2019-12-04 11:19:00,1
2019-12-04 11:25:00,1
2019-12-04 11:28:00,1
2019-12-04 11:32:00,1
2019-12-04 11:40:00,1
2019-12-04 11:50:00,1
