251,"SELECT p.ra, p.dec, p.psfmag_g, f.mjd_g, n.distance*# FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p, Field f WHERE n.objID = p.objID and f.fieldID = p.fieldID"
2019-12-04 11:49:00,1
2019-12-04 11:50:00,4
2019-12-04 11:51:00,1
2019-12-04 11:53:00,1
2019-12-04 11:54:00,1
2019-12-04 11:55:00,2
2019-12-04 11:59:00,2
2019-12-04 12:00:00,2
2019-12-04 12:01:00,4
2019-12-04 12:04:00,6
2019-12-04 12:06:00,6
2019-12-04 12:07:00,7
2019-12-04 12:10:00,1
2019-12-04 12:11:00,2
2019-12-04 12:12:00,2
2019-12-04 12:16:00,1
2019-12-04 12:17:00,1
2019-12-04 12:18:00,3
2019-12-04 12:19:00,9
2019-12-04 12:33:00,2
2019-12-04 12:34:00,2
2019-12-04 12:35:00,7
2019-12-04 12:36:00,2
2019-12-04 12:48:00,1
2019-12-04 12:49:00,3
2019-12-04 12:50:00,4
2019-12-04 12:51:00,5
2019-12-04 13:19:00,1
2019-12-04 13:23:00,1
2019-12-04 13:26:00,1
2019-12-04 13:27:00,3
2019-12-04 13:28:00,1
2019-12-04 13:33:00,1
2019-12-04 13:34:00,1
2019-12-04 13:35:00,2
2019-12-04 13:36:00,1
2019-12-04 13:37:00,2
2019-12-04 13:38:00,5
2019-12-04 13:40:00,5
2019-12-04 13:41:00,2
2019-12-04 13:42:00,8
2019-12-04 13:43:00,5
2019-12-04 13:44:00,5
2019-12-04 13:46:00,1
2019-12-04 13:48:00,1
2019-12-04 13:49:00,1
2019-12-04 13:50:00,1
2019-12-04 13:51:00,3
2019-12-04 13:52:00,1
2019-12-04 13:54:00,1
2019-12-04 13:56:00,1
2019-12-04 14:00:00,1
2019-12-04 14:01:00,1
2019-12-04 14:03:00,1
2019-12-04 14:05:00,1
2019-12-04 14:06:00,1
2019-12-04 14:07:00,1
2019-12-04 14:08:00,1
2019-12-04 14:11:00,2
2019-12-04 14:12:00,2
2019-12-04 14:13:00,1
2019-12-04 14:26:00,1
2019-12-04 14:28:00,1
2019-12-04 14:30:00,1
2019-12-04 14:35:00,1
2019-12-04 14:37:00,1
2019-12-04 14:39:00,1
2019-12-04 14:43:00,1
2019-12-04 14:45:00,1
2019-12-04 14:50:00,1
2019-12-04 14:54:00,1
2019-12-04 14:55:00,1
2019-12-04 14:56:00,5
2019-12-04 14:57:00,13
2019-12-04 15:01:00,13
2019-12-04 15:31:00,13
2019-12-04 15:50:00,13
2019-12-04 15:51:00,2
2019-12-04 15:53:00,13
2019-12-04 15:54:00,2
2019-12-04 15:55:00,5
2019-12-04 15:56:00,13
