403,select * from Photoz2 where objid=#
2019-12-04 05:15:00,1
2019-12-04 16:33:00,1
2019-12-04 21:30:00,2
2019-12-04 21:31:00,4
2019-12-04 21:32:00,4
2019-12-04 21:33:00,4
2019-12-04 21:34:00,7
2019-12-04 21:35:00,5
2019-12-04 21:36:00,4
2019-12-04 21:37:00,5
2019-12-04 21:38:00,5
2019-12-04 21:39:00,4
2019-12-04 21:40:00,4
2019-12-04 21:41:00,5
2019-12-04 21:42:00,6
2019-12-04 21:43:00,5
2019-12-04 21:44:00,5
2019-12-04 21:45:00,4
2019-12-04 21:46:00,5
2019-12-04 21:47:00,6
2019-12-04 21:48:00,4
2019-12-04 21:49:00,7
2019-12-04 21:50:00,5
2019-12-04 21:51:00,4
2019-12-04 21:52:00,6
2019-12-04 21:53:00,5
2019-12-04 21:54:00,4
2019-12-04 21:55:00,6
2019-12-04 21:56:00,4
2019-12-04 21:57:00,12
2019-12-04 21:58:00,18
2019-12-04 21:59:00,19
2019-12-04 22:00:00,18
2019-12-04 22:01:00,21
2019-12-04 22:02:00,18
2019-12-04 22:03:00,22
2019-12-04 22:04:00,21
2019-12-04 22:05:00,23
2019-12-04 22:06:00,15
2019-12-04 22:07:00,14
2019-12-04 22:08:00,14
2019-12-04 22:09:00,16
2019-12-04 22:10:00,15
2019-12-04 22:11:00,11
2019-12-04 22:12:00,11
2019-12-04 22:13:00,3
2019-12-04 22:32:00,1
