19,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-12-04 02:34:00,1
2019-12-04 07:52:00,2
2019-12-04 08:38:00,2
2019-12-04 08:41:00,1
2019-12-04 08:42:00,1
2019-12-04 08:44:00,1
2019-12-04 08:46:00,1
2019-12-04 09:11:00,1
2019-12-04 09:23:00,1
2019-12-04 09:36:00,1
2019-12-04 09:37:00,1
2019-12-04 09:40:00,1
2019-12-04 09:41:00,1
2019-12-04 10:39:00,1
2019-12-04 14:42:00,1
2019-12-04 14:43:00,1
2019-12-04 22:34:00,1
