46,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID"
2019-12-04 00:19:00,1
2019-12-04 00:20:00,3
2019-12-04 00:21:00,1
2019-12-04 00:26:00,1
2019-12-04 00:27:00,1
2019-12-04 00:29:00,1
2019-12-04 00:30:00,2
2019-12-04 00:31:00,1
2019-12-04 01:33:00,1
2019-12-04 01:35:00,1
2019-12-04 01:37:00,1
2019-12-04 02:05:00,1
2019-12-04 03:02:00,2
2019-12-04 03:04:00,1
2019-12-04 03:44:00,1
2019-12-04 04:22:00,1
2019-12-04 04:23:00,1
2019-12-04 04:25:00,1
2019-12-04 05:10:00,1
2019-12-04 05:12:00,1
2019-12-04 05:14:00,1
2019-12-04 05:16:00,2
2019-12-04 05:17:00,2
2019-12-04 05:26:00,1
2019-12-04 05:33:00,1
2019-12-04 05:36:00,1
2019-12-04 20:13:00,1
2019-12-04 22:20:00,1
2019-12-04 22:26:00,1
2019-12-04 22:38:00,1
2019-12-04 22:41:00,1
2019-12-04 22:44:00,1
2019-12-04 22:50:00,3
2019-12-04 22:51:00,1
2019-12-04 22:58:00,1
2019-12-04 23:02:00,1
2019-12-04 23:15:00,1
2019-12-04 23:29:00,1
