16,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-10-29 07:06:00,1
2019-10-29 07:07:00,1
2019-10-29 07:08:00,2
2019-10-29 07:12:00,1
2019-10-29 07:13:00,1
2019-10-29 07:17:00,1
2019-10-29 07:18:00,1
2019-10-29 07:57:00,1
2019-10-29 08:22:00,2
2019-10-29 08:39:00,1
2019-10-29 08:40:00,1
2019-10-29 10:59:00,1
2019-10-29 17:29:00,1
2019-10-29 23:36:00,1
