135,select distinct parent from DBViewCols where viewname=&&&
2019-10-29 00:37:00,2
2019-10-29 01:06:00,2
2019-10-29 01:08:00,1
2019-10-29 01:09:00,1
2019-10-29 01:31:00,1
2019-10-29 01:36:00,1
2019-10-29 01:44:00,1
2019-10-29 02:22:00,2
2019-10-29 02:26:00,2
2019-10-29 02:28:00,3
2019-10-29 03:46:00,1
2019-10-29 03:50:00,2
2019-10-29 04:15:00,1
2019-10-29 04:19:00,2
2019-10-29 04:24:00,1
2019-10-29 04:25:00,2
2019-10-29 04:36:00,1
2019-10-29 04:40:00,1
2019-10-29 04:41:00,1
2019-10-29 04:43:00,1
2019-10-29 07:44:00,1
2019-10-29 07:48:00,1
2019-10-29 08:28:00,1
2019-10-29 10:30:00,1
2019-10-29 11:11:00,7
2019-10-29 11:12:00,12
2019-10-29 11:13:00,14
2019-10-29 11:14:00,22
2019-10-29 11:15:00,12
2019-10-29 13:38:00,1
2019-10-29 15:26:00,2
2019-10-29 15:27:00,1
2019-10-29 17:57:00,1
2019-10-29 17:58:00,1
2019-10-29 17:59:00,4
2019-10-29 18:00:00,1
2019-10-29 18:04:00,1
2019-10-29 18:15:00,1
2019-10-29 18:16:00,1
2019-10-29 18:50:00,1
2019-10-29 19:49:00,1
2019-10-29 19:50:00,2
2019-10-29 19:56:00,1
2019-10-29 20:40:00,2
2019-10-29 20:46:00,1
2019-10-29 20:47:00,1
2019-10-29 20:48:00,1
2019-10-29 20:50:00,1
2019-10-29 21:34:00,1
2019-10-29 21:44:00,1
2019-10-29 22:38:00,1
2019-10-29 22:44:00,4
2019-10-29 23:17:00,1
2019-10-29 23:41:00,2
