47,"SELECT top # objid, ra, dec, z, dered_u AS mag_u, dered_g AS mag_g, dered_r AS mag_r, dered_i AS mag_i, dered_z AS mag_z FROM SpecPhoto WHERE (class = &&&)"
2019-10-29 15:40:00,1
2019-10-29 15:41:00,1
2019-10-29 15:42:00,2
2019-10-29 15:52:00,1
2019-10-29 15:53:00,2
2019-10-29 15:54:00,3
2019-10-29 15:57:00,2
2019-10-29 15:58:00,3
2019-10-29 16:00:00,1
2019-10-29 16:01:00,2
2019-10-29 16:02:00,2
2019-10-29 16:03:00,2
2019-10-29 17:25:00,1
2019-10-29 17:26:00,1
2019-10-29 17:28:00,1
2019-10-29 17:29:00,1
2019-10-29 17:30:00,2
2019-10-29 17:34:00,1
2019-10-29 17:35:00,3
2019-10-29 17:36:00,2
2019-10-29 17:37:00,2
2019-10-29 17:38:00,1
2019-10-29 17:39:00,2
2019-10-29 17:41:00,2
2019-10-29 18:07:00,4
2019-10-29 18:08:00,2
