2356,"select name, type from DBObjects where type=&&& and access=&&& and name NOT IN (&&&, &&&) order by name"
2019-10-29 00:11:00,3
2019-10-29 00:13:00,10
2019-10-29 00:16:00,12
2019-10-29 00:17:00,18
2019-10-29 00:18:00,7
2019-10-29 00:19:00,2
2019-10-29 00:20:00,3
2019-10-29 00:21:00,10
2019-10-29 00:31:00,9
2019-10-29 00:32:00,15
2019-10-29 00:37:00,10
2019-10-29 00:44:00,10
2019-10-29 01:08:00,3
2019-10-29 01:09:00,19
2019-10-29 01:14:00,3
2019-10-29 01:29:00,3
2019-10-29 01:31:00,3
2019-10-29 01:36:00,3
2019-10-29 01:37:00,3
2019-10-29 01:44:00,3
2019-10-29 02:24:00,3
2019-10-29 02:28:00,3
2019-10-29 02:31:00,2
2019-10-29 02:32:00,1
2019-10-29 02:36:00,3
2019-10-29 03:29:00,3
2019-10-29 03:30:00,3
2019-10-29 03:32:00,3
2019-10-29 03:39:00,3
2019-10-29 03:42:00,3
2019-10-29 03:46:00,3
2019-10-29 03:59:00,3
2019-10-29 04:00:00,3
2019-10-29 04:01:00,3
2019-10-29 04:15:00,3
2019-10-29 04:19:00,3
2019-10-29 04:28:00,3
2019-10-29 04:39:00,3
2019-10-29 04:41:00,3
2019-10-29 04:42:00,3
2019-10-29 04:48:00,3
2019-10-29 05:14:00,8
2019-10-29 05:23:00,9
2019-10-29 05:24:00,3
2019-10-29 05:25:00,3
2019-10-29 05:54:00,3
2019-10-29 06:06:00,6
2019-10-29 06:14:00,3
2019-10-29 06:16:00,6
2019-10-29 06:26:00,9
2019-10-29 07:03:00,3
2019-10-29 07:10:00,3
2019-10-29 07:24:00,9
2019-10-29 07:42:00,3
2019-10-29 07:44:00,3
2019-10-29 07:47:00,3
2019-10-29 07:56:00,7
2019-10-29 07:58:00,3
2019-10-29 07:59:00,12
2019-10-29 08:03:00,3
2019-10-29 08:11:00,3
2019-10-29 08:21:00,9
2019-10-29 08:25:00,3
2019-10-29 08:28:00,3
2019-10-29 08:30:00,3
2019-10-29 08:57:00,33
2019-10-29 08:58:00,48
2019-10-29 08:59:00,48
2019-10-29 09:00:00,30
2019-10-29 09:01:00,30
2019-10-29 09:02:00,30
2019-10-29 09:03:00,40
2019-10-29 09:04:00,30
2019-10-29 09:05:00,45
2019-10-29 09:13:00,3
2019-10-29 09:14:00,3
2019-10-29 09:41:00,3
2019-10-29 09:45:00,6
2019-10-29 09:50:00,3
2019-10-29 10:06:00,3
2019-10-29 10:09:00,3
2019-10-29 10:16:00,12
2019-10-29 10:24:00,3
2019-10-29 10:30:00,7
2019-10-29 10:38:00,3
2019-10-29 10:41:00,3
2019-10-29 10:50:00,3
2019-10-29 10:51:00,3
2019-10-29 10:55:00,3
2019-10-29 10:56:00,3
2019-10-29 10:57:00,3
2019-10-29 11:01:00,3
2019-10-29 11:10:00,3
2019-10-29 11:11:00,8
2019-10-29 11:16:00,10
2019-10-29 11:17:00,1
2019-10-29 11:20:00,3
2019-10-29 11:24:00,5
2019-10-29 11:26:00,7
2019-10-29 11:27:00,3
2019-10-29 11:37:00,3
2019-10-29 11:38:00,3
2019-10-29 11:39:00,3
2019-10-29 11:41:00,3
2019-10-29 11:44:00,3
2019-10-29 11:51:00,9
2019-10-29 12:02:00,3
2019-10-29 12:11:00,3
2019-10-29 12:13:00,3
2019-10-29 12:21:00,3
2019-10-29 12:26:00,9
2019-10-29 12:40:00,30
2019-10-29 12:41:00,3
2019-10-29 12:44:00,3
2019-10-29 12:54:00,6
2019-10-29 13:03:00,17
2019-10-29 13:04:00,9
2019-10-29 13:20:00,4
2019-10-29 13:28:00,1
2019-10-29 13:38:00,3
2019-10-29 13:47:00,3
2019-10-29 14:14:00,9
2019-10-29 14:18:00,3
2019-10-29 14:24:00,3
2019-10-29 14:36:00,3
2019-10-29 14:37:00,3
2019-10-29 14:49:00,4
2019-10-29 14:52:00,6
2019-10-29 14:54:00,6
2019-10-29 14:55:00,6
2019-10-29 14:56:00,6
2019-10-29 14:57:00,3
2019-10-29 14:58:00,3
2019-10-29 15:00:00,6
2019-10-29 15:01:00,3
2019-10-29 15:03:00,9
2019-10-29 15:04:00,6
2019-10-29 15:06:00,3
2019-10-29 15:08:00,3
2019-10-29 15:10:00,6
2019-10-29 15:11:00,3
2019-10-29 15:12:00,3
2019-10-29 15:26:00,6
2019-10-29 15:28:00,2
2019-10-29 15:32:00,3
2019-10-29 15:33:00,3
2019-10-29 15:34:00,3
2019-10-29 15:36:00,6
2019-10-29 15:37:00,9
2019-10-29 15:40:00,3
2019-10-29 15:41:00,3
2019-10-29 15:50:00,3
2019-10-29 15:57:00,15
2019-10-29 15:58:00,24
2019-10-29 15:59:00,24
2019-10-29 16:00:00,6
2019-10-29 16:01:00,6
2019-10-29 16:03:00,3
2019-10-29 16:04:00,3
2019-10-29 16:06:00,3
2019-10-29 16:09:00,3
2019-10-29 16:10:00,15
2019-10-29 16:11:00,12
2019-10-29 16:12:00,6
2019-10-29 16:13:00,6
2019-10-29 16:14:00,9
2019-10-29 16:15:00,3
2019-10-29 16:16:00,6
2019-10-29 16:20:00,9
2019-10-29 16:21:00,12
2019-10-29 16:22:00,3
2019-10-29 16:23:00,12
2019-10-29 16:24:00,3
2019-10-29 16:25:00,6
2019-10-29 16:26:00,15
2019-10-29 16:27:00,9
2019-10-29 16:28:00,9
2019-10-29 16:29:00,3
2019-10-29 16:30:00,3
2019-10-29 16:39:00,3
2019-10-29 16:46:00,3
2019-10-29 16:55:00,3
2019-10-29 16:56:00,3
2019-10-29 16:57:00,3
