608,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-10-29 02:46:00,17
2019-10-29 02:47:00,29
2019-10-29 02:48:00,34
2019-10-29 02:49:00,34
2019-10-29 02:50:00,34
2019-10-29 02:51:00,34
2019-10-29 02:52:00,30
2019-10-29 02:53:00,32
2019-10-29 02:54:00,60
2019-10-29 03:01:00,16
2019-10-29 03:02:00,34
2019-10-29 03:03:00,34
2019-10-29 03:04:00,33
2019-10-29 03:05:00,32
2019-10-29 03:06:00,31
2019-10-29 03:07:00,29
2019-10-29 03:08:00,31
2019-10-29 03:09:00,57
2019-10-29 03:10:00,7
