714,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-10-29 00:06:00,8
2019-10-29 00:07:00,2
2019-10-29 00:19:00,10
2019-10-29 00:20:00,66
2019-10-29 00:21:00,79
2019-10-29 00:22:00,91
2019-10-29 00:23:00,88
2019-10-29 00:24:00,66
2019-10-29 02:34:00,3
2019-10-29 02:35:00,31
2019-10-29 02:36:00,32
2019-10-29 02:37:00,14
2019-10-29 02:38:00,22
2019-10-29 02:39:00,34
2019-10-29 02:40:00,35
2019-10-29 02:41:00,33
2019-10-29 02:42:00,32
2019-10-29 02:43:00,50
2019-10-29 02:44:00,18
