206,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z, psfFluxIvar_u, psfFluxIvar_g, psfFluxIvar_r, psfFluxIvar_i, psfFluxIvar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-10-29 10:47:00,4
2019-10-29 10:48:00,1
2019-10-29 10:50:00,5
2019-10-29 10:51:00,4
2019-10-29 10:52:00,6
2019-10-29 10:59:00,1
2019-10-29 11:00:00,3
2019-10-29 11:01:00,1
2019-10-29 11:03:00,5
2019-10-29 11:04:00,3
2019-10-29 11:05:00,6
2019-10-29 11:06:00,1
2019-10-29 11:13:00,1
2019-10-29 11:15:00,1
2019-10-29 11:18:00,1
2019-10-29 11:19:00,1
2019-10-29 11:20:00,1
2019-10-29 11:43:00,1
2019-10-29 11:44:00,4
2019-10-29 11:45:00,1
2019-10-29 11:46:00,6
2019-10-29 11:47:00,8
2019-10-29 11:48:00,4
2019-10-29 11:49:00,1
2019-10-29 11:50:00,6
2019-10-29 11:51:00,9
2019-10-29 11:52:00,4
2019-10-29 11:53:00,1
2019-10-29 11:54:00,6
2019-10-29 11:55:00,9
2019-10-29 11:57:00,5
2019-10-29 11:58:00,2
2019-10-29 11:59:00,6
2019-10-29 12:00:00,7
2019-10-29 12:02:00,3
2019-10-29 12:03:00,2
2019-10-29 12:04:00,5
2019-10-29 12:05:00,9
2019-10-29 12:06:00,1
2019-10-29 12:17:00,2
2019-10-29 12:18:00,3
2019-10-29 12:20:00,6
2019-10-29 12:21:00,9
2019-10-29 12:25:00,5
2019-10-29 12:26:00,2
2019-10-29 12:27:00,3
2019-10-29 12:28:00,4
2019-10-29 12:29:00,2
2019-10-29 12:32:00,5
2019-10-29 16:21:00,2
2019-10-29 16:22:00,3
2019-10-29 16:23:00,5
2019-10-29 16:24:00,6
2019-10-29 16:25:00,4
