50,"SELECT   p.objid,p.ra,p.dec,p.r,   s.specobjid,s.z,   dbo.fSpecZWarningN(s.zWarning) as warning,   s.plate, s.mjd, s.fiberid   FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid   WHERE   p.ra < #+# and p.ra > #-#   AND p.dec < #+# and p.dec > #-#"
2019-10-29 00:51:00,1
2019-10-29 02:41:00,1
2019-10-29 03:10:00,1
2019-10-29 05:13:00,1
2019-10-29 05:24:00,1
2019-10-29 05:55:00,1
2019-10-29 06:54:00,1
2019-10-29 07:05:00,1
2019-10-29 07:56:00,1
2019-10-29 08:34:00,1
2019-10-29 09:16:00,1
2019-10-29 09:47:00,1
2019-10-29 11:03:00,1
2019-10-29 11:27:00,1
2019-10-29 11:29:00,1
2019-10-29 11:50:00,1
2019-10-29 11:55:00,1
2019-10-29 12:02:00,1
2019-10-29 12:24:00,1
2019-10-29 12:37:00,1
2019-10-29 12:50:00,1
2019-10-29 12:52:00,1
2019-10-29 12:56:00,1
2019-10-29 13:00:00,1
2019-10-29 13:59:00,1
2019-10-29 14:30:00,1
2019-10-29 14:51:00,1
2019-10-29 14:54:00,1
2019-10-29 15:04:00,1
2019-10-29 15:15:00,1
2019-10-29 15:36:00,1
2019-10-29 16:25:00,1
2019-10-29 18:14:00,1
2019-10-29 19:09:00,1
2019-10-29 19:10:00,1
2019-10-29 20:06:00,1
2019-10-29 20:23:00,1
2019-10-29 20:36:00,1
2019-10-29 20:44:00,1
2019-10-29 21:34:00,1
2019-10-29 21:35:00,1
2019-10-29 21:37:00,1
2019-10-29 21:47:00,1
2019-10-29 21:54:00,1
2019-10-29 22:01:00,1
2019-10-29 22:25:00,1
2019-10-29 22:30:00,1
2019-10-29 22:45:00,1
2019-10-29 22:59:00,1
2019-10-29 23:34:00,1
