56,select * from zooSpec where objid=#
2019-10-29 00:01:00,2
2019-10-29 00:10:00,1
2019-10-29 00:14:00,1
2019-10-29 00:21:00,1
2019-10-29 00:22:00,1
2019-10-29 00:31:00,1
2019-10-29 00:32:00,1
2019-10-29 00:44:00,1
2019-10-29 00:55:00,1
2019-10-29 00:56:00,1
2019-10-29 01:09:00,1
2019-10-29 01:36:00,1
2019-10-29 01:44:00,1
2019-10-29 02:03:00,1
2019-10-29 02:06:00,1
2019-10-29 03:01:00,1
2019-10-29 03:25:00,1
2019-10-29 04:43:00,1
2019-10-29 06:03:00,1
2019-10-29 06:05:00,1
2019-10-29 06:25:00,1
2019-10-29 08:54:00,1
2019-10-29 09:06:00,1
2019-10-29 09:14:00,1
2019-10-29 09:20:00,2
2019-10-29 10:27:00,1
2019-10-29 10:56:00,1
2019-10-29 11:43:00,1
2019-10-29 12:26:00,1
2019-10-29 12:51:00,1
2019-10-29 14:20:00,1
2019-10-29 14:32:00,1
2019-10-29 14:43:00,1
2019-10-29 14:48:00,1
2019-10-29 14:55:00,1
2019-10-29 15:37:00,1
2019-10-29 16:05:00,1
2019-10-29 16:09:00,1
2019-10-29 18:01:00,1
2019-10-29 18:30:00,2
2019-10-29 19:12:00,1
2019-10-29 19:15:00,1
2019-10-29 19:30:00,1
2019-10-29 19:49:00,1
2019-10-29 21:13:00,1
2019-10-29 21:33:00,1
2019-10-29 21:43:00,1
2019-10-29 21:54:00,1
2019-10-29 22:08:00,1
2019-10-29 22:29:00,1
2019-10-29 22:33:00,1
2019-10-29 22:55:00,1
2019-10-29 22:58:00,1
