654,"select p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z FROM PhotoPrimary AS p WHERE type=# AND ((flags_r & #) != #)AND ((flags_r & #) = #)AND (((flags_r & #) = #) or (psfmagerr_g <= #))AND (((flags_r & #) = #) or (flags_r & #) = #)AND p.ra BETWEEN (#-#) AND (#+#) AND p.dec BETWEEN (#-#) AND (#+#) ORDER BY p.objid"
2019-12-19 00:46:00,61
2019-12-19 00:47:00,38
2019-12-19 00:48:00,53
2019-12-19 00:49:00,44
2019-12-19 00:50:00,46
2019-12-19 00:51:00,21
2019-12-19 00:52:00,19
2019-12-19 00:53:00,3
2019-12-19 00:54:00,4
2019-12-19 05:13:00,1
2019-12-19 05:19:00,1
2019-12-19 05:30:00,2
2019-12-19 05:32:00,10
2019-12-19 05:33:00,6
2019-12-19 05:35:00,33
2019-12-19 05:37:00,129
2019-12-19 05:38:00,54
2019-12-19 05:40:00,129
