2408,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, modelFlux_u, modelFlux_g, modelFlux_r, modelFlux_i, modelFlux_z, modelFluxIVar_u, modelFluxIVar_g, modelFluxIVar_r, modelFluxIVar_i, modelFluxIVar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-12-19 00:00:00,2
2019-12-19 00:01:00,1
2019-12-19 00:02:00,1
2019-12-19 00:03:00,2
2019-12-19 00:04:00,3
2019-12-19 00:06:00,9
2019-12-19 00:08:00,9
2019-12-19 00:11:00,10
2019-12-19 00:13:00,1
2019-12-19 00:14:00,9
2019-12-19 00:16:00,10
2019-12-19 00:19:00,10
2019-12-19 00:20:00,1
2019-12-19 00:22:00,8
2019-12-19 00:23:00,2
2019-12-19 00:25:00,10
2019-12-19 00:29:00,10
2019-12-19 00:32:00,10
2019-12-19 00:35:00,10
2019-12-19 00:37:00,4
2019-12-19 00:38:00,1
2019-12-19 00:40:00,10
2019-12-19 00:43:00,1
2019-12-19 00:44:00,9
2019-12-19 00:45:00,6
2019-12-19 00:46:00,1
2019-12-19 00:49:00,10
2019-12-19 00:50:00,1
2019-12-19 00:51:00,7
2019-12-19 00:53:00,5
2019-12-19 00:54:00,5
2019-12-19 00:55:00,6
2019-12-19 00:56:00,4
2019-12-19 00:58:00,10
2019-12-19 01:00:00,2
2019-12-19 01:01:00,7
2019-12-19 01:03:00,8
2019-12-19 01:05:00,10
2019-12-19 01:09:00,10
2019-12-19 01:11:00,6
2019-12-19 01:12:00,4
2019-12-19 01:14:00,5
2019-12-19 01:15:00,5
2019-12-19 01:18:00,10
2019-12-19 01:21:00,10
2019-12-19 01:23:00,3
2019-12-19 01:24:00,1
2019-12-19 01:28:00,10
2019-12-19 01:32:00,9
2019-12-19 01:34:00,10
2019-12-19 01:35:00,1
2019-12-19 01:37:00,10
2019-12-19 01:39:00,4
2019-12-19 01:41:00,9
2019-12-19 01:42:00,6
2019-12-19 01:43:00,1
2019-12-19 01:44:00,2
2019-12-19 01:45:00,1
2019-12-19 01:46:00,3
