40,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-12-19 08:19:00,2
2019-12-19 08:20:00,2
2019-12-19 08:22:00,2
2019-12-19 08:24:00,2
2019-12-19 09:55:00,2
2019-12-19 09:57:00,2
2019-12-19 09:59:00,2
2019-12-19 10:00:00,2
2019-12-19 10:01:00,2
2019-12-19 10:03:00,2
2019-12-19 10:04:00,4
2019-12-19 10:05:00,4
2019-12-19 10:14:00,2
2019-12-19 10:16:00,2
2019-12-19 10:20:00,2
2019-12-19 10:22:00,4
2019-12-19 10:24:00,2
