840,"SELECT p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,s.z as redshift, s.zErr, s.zWarning, s.class, s.snMedian  FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra<(#) AND p.ra>(#)  AND p.dec<(#) AND p.dec>(#) AND p.type=# AND s.snMedian>#"
2019-12-19 08:24:00,2
2019-12-19 08:25:00,18
2019-12-19 08:26:00,30
2019-12-19 08:27:00,30
2019-12-19 08:28:00,31
2019-12-19 08:29:00,25
2019-12-19 08:30:00,23
2019-12-19 08:31:00,22
2019-12-19 08:32:00,22
2019-12-19 08:33:00,23
2019-12-19 08:34:00,28
2019-12-19 08:35:00,26
2019-12-19 08:36:00,26
2019-12-19 08:37:00,28
2019-12-19 08:38:00,28
2019-12-19 08:39:00,28
2019-12-19 08:40:00,27
2019-12-19 08:41:00,28
2019-12-19 08:42:00,33
2019-12-19 08:43:00,30
2019-12-19 08:44:00,28
2019-12-19 08:45:00,31
2019-12-19 08:46:00,34
2019-12-19 08:47:00,31
2019-12-19 08:48:00,33
2019-12-19 08:49:00,21
2019-12-19 22:19:00,36
2019-12-19 22:20:00,50
2019-12-19 22:21:00,52
2019-12-19 22:22:00,16
