16,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-12-19 01:37:00,1
2019-12-19 02:47:00,1
2019-12-19 03:03:00,1
2019-12-19 04:59:00,1
2019-12-19 05:03:00,1
2019-12-19 05:16:00,1
2019-12-19 05:18:00,1
2019-12-19 05:31:00,1
2019-12-19 05:45:00,1
2019-12-19 06:05:00,1
2019-12-19 06:21:00,1
2019-12-19 06:34:00,1
2019-12-19 09:43:00,1
2019-12-19 09:54:00,1
2019-12-19 10:20:00,1
2019-12-19 16:38:00,1
