2364,"SELECT DISTINCT s.instrument, s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-12-19 00:00:00,5
2019-12-19 00:01:00,4
2019-12-19 00:02:00,2
2019-12-19 00:03:00,9
2019-12-19 00:04:00,12
2019-12-19 00:05:00,9
2019-12-19 00:06:00,10
2019-12-19 00:07:00,5
2019-12-19 00:08:00,5
2019-12-19 00:09:00,6
2019-12-19 00:10:00,8
2019-12-19 00:11:00,8
2019-12-19 00:12:00,14
2019-12-19 00:13:00,3
2019-12-19 00:19:00,4
2019-12-19 00:20:00,9
2019-12-19 00:21:00,9
2019-12-19 00:22:00,7
2019-12-19 00:23:00,8
2019-12-19 00:24:00,7
2019-12-19 00:25:00,7
2019-12-19 00:26:00,7
2019-12-19 00:27:00,8
2019-12-19 00:28:00,6
2019-12-19 00:29:00,2
2019-12-19 00:35:00,7
2019-12-19 00:36:00,34
2019-12-19 00:37:00,7
2019-12-19 00:38:00,7
2019-12-19 00:39:00,18
2019-12-19 00:40:00,9
2019-12-19 00:41:00,4
2019-12-19 00:42:00,5
2019-12-19 00:43:00,4
2019-12-19 00:44:00,7
2019-12-19 00:45:00,34
2019-12-19 00:46:00,15
2019-12-19 00:52:00,4
2019-12-19 00:53:00,10
2019-12-19 00:54:00,5
2019-12-19 00:55:00,4
2019-12-19 00:56:00,11
2019-12-19 00:57:00,5
2019-12-19 00:58:00,5
2019-12-19 00:59:00,15
2019-12-19 01:00:00,5
2019-12-19 01:01:00,5
2019-12-19 01:02:00,1
2019-12-19 01:03:00,5
2019-12-19 01:04:00,9
2019-12-19 01:05:00,9
2019-12-19 01:06:00,4
2019-12-19 01:07:00,8
2019-12-19 01:08:00,7
2019-12-19 01:09:00,3
2019-12-19 01:10:00,3
2019-12-19 01:11:00,4
2019-12-19 01:12:00,4
2019-12-19 01:13:00,3
2019-12-19 01:14:00,6
2019-12-19 01:15:00,6
2019-12-19 01:16:00,3
2019-12-19 01:17:00,4
2019-12-19 01:18:00,7
2019-12-19 01:19:00,9
2019-12-19 01:20:00,6
2019-12-19 01:21:00,6
2019-12-19 01:22:00,8
2019-12-19 01:23:00,3
2019-12-19 01:24:00,8
2019-12-19 01:25:00,7
2019-12-19 01:26:00,7
2019-12-19 01:27:00,6
2019-12-19 01:28:00,10
2019-12-19 01:29:00,8
2019-12-19 01:30:00,5
2019-12-19 01:31:00,7
2019-12-19 01:32:00,6
2019-12-19 01:33:00,20
2019-12-19 01:34:00,5
2019-12-19 01:35:00,3
2019-12-19 01:36:00,4
2019-12-19 01:37:00,27
2019-12-19 01:38:00,7
2019-12-19 01:39:00,12
2019-12-19 01:40:00,10
2019-12-19 01:41:00,10
2019-12-19 01:42:00,12
2019-12-19 01:43:00,11
2019-12-19 01:44:00,6
2019-12-19 01:45:00,9
2019-12-19 01:46:00,7
2019-12-19 01:47:00,5
2019-12-19 01:48:00,6
2019-12-19 01:49:00,8
2019-12-19 01:50:00,6
2019-12-19 01:51:00,3
2019-12-19 01:52:00,5
2019-12-19 01:53:00,4
2019-12-19 01:54:00,7
2019-12-19 01:55:00,8
2019-12-19 01:56:00,6
2019-12-19 01:57:00,8
2019-12-19 01:58:00,6
2019-12-19 01:59:00,4
2019-12-19 02:00:00,6
2019-12-19 02:01:00,7
2019-12-19 02:02:00,4
2019-12-19 02:03:00,6
2019-12-19 02:04:00,8
