127,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-12-19 01:17:00,2
2019-12-19 01:20:00,4
2019-12-19 01:23:00,4
2019-12-19 01:25:00,4
2019-12-19 01:28:00,4
2019-12-19 01:33:00,4
2019-12-19 01:46:00,2
2019-12-19 16:20:00,15
2019-12-19 16:21:00,13
2019-12-19 16:22:00,12
2019-12-19 16:23:00,12
2019-12-19 16:24:00,8
2019-12-19 16:25:00,4
2019-12-19 16:39:00,4
2019-12-19 16:42:00,2
2019-12-19 16:44:00,1
2019-12-19 16:45:00,1
2019-12-19 16:49:00,4
2019-12-19 18:01:00,8
2019-12-19 18:02:00,2
2019-12-19 18:35:00,1
2019-12-19 19:55:00,4
2019-12-19 19:56:00,4
2019-12-19 19:57:00,4
2019-12-19 19:58:00,4
