5614,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between # and # and dec between # and # AND flags & dbo.fPhotoFlags(&&&) = # and clean = #"
2019-12-19 00:00:00,19
2019-12-19 00:01:00,17
2019-12-19 00:02:00,15
2019-12-19 00:03:00,14
2019-12-19 00:04:00,13
2019-12-19 00:05:00,21
2019-12-19 00:06:00,20
2019-12-19 00:07:00,14
2019-12-19 00:08:00,20
2019-12-19 00:09:00,13
2019-12-19 00:10:00,19
2019-12-19 00:11:00,18
2019-12-19 00:12:00,20
2019-12-19 00:13:00,15
2019-12-19 00:14:00,13
2019-12-19 00:15:00,23
2019-12-19 00:16:00,13
2019-12-19 00:17:00,15
2019-12-19 00:18:00,15
2019-12-19 00:19:00,25
2019-12-19 00:20:00,19
2019-12-19 00:21:00,21
2019-12-19 00:22:00,13
2019-12-19 00:23:00,20
2019-12-19 00:24:00,27
2019-12-19 00:25:00,22
2019-12-19 00:26:00,24
2019-12-19 00:27:00,14
2019-12-19 00:28:00,21
2019-12-19 00:29:00,30
2019-12-19 00:30:00,21
2019-12-19 00:31:00,27
2019-12-19 00:32:00,21
2019-12-19 00:33:00,26
2019-12-19 00:34:00,20
2019-12-19 00:35:00,28
2019-12-19 00:36:00,22
2019-12-19 00:37:00,25
2019-12-19 00:38:00,22
2019-12-19 00:39:00,27
2019-12-19 00:40:00,22
2019-12-19 00:41:00,22
2019-12-19 00:42:00,26
2019-12-19 00:43:00,22
2019-12-19 00:44:00,28
2019-12-19 00:45:00,22
2019-12-19 00:46:00,20
2019-12-19 00:47:00,26
2019-12-19 00:48:00,24
2019-12-19 00:49:00,23
2019-12-19 00:50:00,19
2019-12-19 00:51:00,32
2019-12-19 00:52:00,26
2019-12-19 00:53:00,23
2019-12-19 00:54:00,21
2019-12-19 00:55:00,24
2019-12-19 00:56:00,25
2019-12-19 00:57:00,23
2019-12-19 00:58:00,22
2019-12-19 00:59:00,26
2019-12-19 01:00:00,17
2019-12-19 01:01:00,22
2019-12-19 01:02:00,26
2019-12-19 01:03:00,18
2019-12-19 01:04:00,20
2019-12-19 01:05:00,10
2019-12-19 01:06:00,7
2019-12-19 01:07:00,8
2019-12-19 01:08:00,14
2019-12-19 01:09:00,17
2019-12-19 01:10:00,8
2019-12-19 01:11:00,10
2019-12-19 01:12:00,8
2019-12-19 01:13:00,10
2019-12-19 01:14:00,10
2019-12-19 01:15:00,9
2019-12-19 01:16:00,7
2019-12-19 01:17:00,16
2019-12-19 01:18:00,13
2019-12-19 01:19:00,21
2019-12-19 01:20:00,23
2019-12-19 01:21:00,20
2019-12-19 01:22:00,21
2019-12-19 01:23:00,18
2019-12-19 01:24:00,21
2019-12-19 01:25:00,25
2019-12-19 01:26:00,18
2019-12-19 01:27:00,22
2019-12-19 01:28:00,17
2019-12-19 01:29:00,23
2019-12-19 01:30:00,18
2019-12-19 01:31:00,19
2019-12-19 01:32:00,20
2019-12-19 01:33:00,19
2019-12-19 01:34:00,19
2019-12-19 01:35:00,19
2019-12-19 01:36:00,25
2019-12-19 01:37:00,14
2019-12-19 01:38:00,17
2019-12-19 01:39:00,23
2019-12-19 01:40:00,22
2019-12-19 01:41:00,20
2019-12-19 01:42:00,16
2019-12-19 01:43:00,22
2019-12-19 01:44:00,20
2019-12-19 01:45:00,21
2019-12-19 01:46:00,19
2019-12-19 01:47:00,20
2019-12-19 01:48:00,16
2019-12-19 01:49:00,21
2019-12-19 01:50:00,19
2019-12-19 01:51:00,18
2019-12-19 01:52:00,16
2019-12-19 01:53:00,20
2019-12-19 01:54:00,21
2019-12-19 01:55:00,17
2019-12-19 01:56:00,16
2019-12-19 01:57:00,14
2019-12-19 01:58:00,15
2019-12-19 01:59:00,14
2019-12-19 02:00:00,16
2019-12-19 02:01:00,15
2019-12-19 02:02:00,11
2019-12-19 02:03:00,13
2019-12-19 02:04:00,19
2019-12-19 02:05:00,7
2019-12-19 02:06:00,14
2019-12-19 02:07:00,14
2019-12-19 02:08:00,14
2019-12-19 02:09:00,11
2019-12-19 02:10:00,15
2019-12-19 02:11:00,13
2019-12-19 02:12:00,8
2019-12-19 02:13:00,16
2019-12-19 02:14:00,12
2019-12-19 02:15:00,14
2019-12-19 02:16:00,13
2019-12-19 02:17:00,7
2019-12-19 02:18:00,16
2019-12-19 02:19:00,14
2019-12-19 02:20:00,13
2019-12-19 02:21:00,13
2019-12-19 02:22:00,18
2019-12-19 02:23:00,12
2019-12-19 02:24:00,20
2019-12-19 02:25:00,12
2019-12-19 02:26:00,17
2019-12-19 02:27:00,17
2019-12-19 02:28:00,15
2019-12-19 02:29:00,20
2019-12-19 02:30:00,14
2019-12-19 02:31:00,18
2019-12-19 02:32:00,18
2019-12-19 02:33:00,15
2019-12-19 02:34:00,18
2019-12-19 02:35:00,14
2019-12-19 02:36:00,17
2019-12-19 02:37:00,16
2019-12-19 02:38:00,17
2019-12-19 02:39:00,17
2019-12-19 02:40:00,13
2019-12-19 02:41:00,15
2019-12-19 02:42:00,11
2019-12-19 02:43:00,15
2019-12-19 02:44:00,22
2019-12-19 02:45:00,11
2019-12-19 02:46:00,11
2019-12-19 02:47:00,15
2019-12-19 02:48:00,14
2019-12-19 02:49:00,11
2019-12-19 02:50:00,15
2019-12-19 02:51:00,9
2019-12-19 02:52:00,16
2019-12-19 02:53:00,12
2019-12-19 02:54:00,10
2019-12-19 02:55:00,14
2019-12-19 02:56:00,15
2019-12-19 02:57:00,13
2019-12-19 02:58:00,10
2019-12-19 02:59:00,14
