2411,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-12-19 00:01:00,2
2019-12-19 00:03:00,2
2019-12-19 00:04:00,3
2019-12-19 00:05:00,9
2019-12-19 00:07:00,9
2019-12-19 00:09:00,8
2019-12-19 00:10:00,2
2019-12-19 00:12:00,10
2019-12-19 00:15:00,10
2019-12-19 00:17:00,3
2019-12-19 00:18:00,7
2019-12-19 00:20:00,1
2019-12-19 00:21:00,10
2019-12-19 00:24:00,10
2019-12-19 00:28:00,10
2019-12-19 00:31:00,10
2019-12-19 00:34:00,10
2019-12-19 00:37:00,4
2019-12-19 00:38:00,1
2019-12-19 00:39:00,10
2019-12-19 00:42:00,10
2019-12-19 00:44:00,2
2019-12-19 00:45:00,4
2019-12-19 00:46:00,1
2019-12-19 00:47:00,2
2019-12-19 00:48:00,8
2019-12-19 00:50:00,6
2019-12-19 00:51:00,2
2019-12-19 00:52:00,3
2019-12-19 00:53:00,7
2019-12-19 00:54:00,2
2019-12-19 00:55:00,8
2019-12-19 00:56:00,2
2019-12-19 00:57:00,8
2019-12-19 00:59:00,10
2019-12-19 01:02:00,8
2019-12-19 01:04:00,10
2019-12-19 01:07:00,7
2019-12-19 01:08:00,3
2019-12-19 01:10:00,6
2019-12-19 01:12:00,4
2019-12-19 01:13:00,5
2019-12-19 01:15:00,5
2019-12-19 01:16:00,3
2019-12-19 01:17:00,7
2019-12-19 01:20:00,10
2019-12-19 01:22:00,3
2019-12-19 01:24:00,1
2019-12-19 01:26:00,10
2019-12-19 01:29:00,3
2019-12-19 01:30:00,6
2019-12-19 01:33:00,10
2019-12-19 01:34:00,1
2019-12-19 01:36:00,10
2019-12-19 01:38:00,4
2019-12-19 01:40:00,9
2019-12-19 01:41:00,1
2019-12-19 01:42:00,5
2019-12-19 01:43:00,1
2019-12-19 01:44:00,3
2019-12-19 01:45:00,1
2019-12-19 01:46:00,2
