155,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-12-19 01:37:00,2
2019-12-19 01:38:00,5
2019-12-19 01:39:00,2
2019-12-19 04:59:00,4
2019-12-19 05:00:00,6
2019-12-19 05:03:00,9
2019-12-19 05:04:00,1
2019-12-19 05:16:00,1
2019-12-19 05:18:00,9
2019-12-19 05:19:00,4
2019-12-19 05:45:00,4
2019-12-19 05:46:00,10
2019-12-19 05:47:00,11
2019-12-19 05:48:00,12
2019-12-19 05:49:00,13
2019-12-19 06:06:00,14
2019-12-19 06:07:00,14
2019-12-19 06:08:00,11
2019-12-19 09:43:00,5
2019-12-19 09:44:00,15
2019-12-19 09:45:00,3
