89,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-12-19 06:00:00,1
2019-12-19 06:04:00,1
2019-12-19 06:05:00,4
2019-12-19 06:06:00,3
2019-12-19 06:07:00,3
2019-12-19 06:08:00,3
2019-12-19 06:09:00,4
2019-12-19 06:10:00,3
2019-12-19 06:11:00,3
2019-12-19 06:12:00,4
2019-12-19 06:13:00,3
2019-12-19 06:14:00,3
2019-12-19 06:15:00,4
2019-12-19 06:16:00,3
2019-12-19 06:17:00,4
2019-12-19 06:18:00,3
2019-12-19 06:19:00,4
2019-12-19 06:20:00,3
2019-12-19 06:21:00,3
2019-12-19 06:22:00,3
2019-12-19 06:23:00,3
2019-12-19 06:24:00,3
2019-12-19 06:25:00,4
2019-12-19 06:26:00,3
2019-12-19 06:27:00,4
2019-12-19 06:28:00,3
2019-12-19 06:29:00,4
2019-12-19 06:30:00,3
