3317,"SELECT  objid,ra,dec,u,g,r,i,z FROM PhotoObj WHERE  ra<(#) AND ra>(#)  AND dec<(#) AND dec>(#)  AND type=#"
2019-12-19 07:40:00,2
2019-12-19 07:41:00,37
2019-12-19 07:42:00,46
2019-12-19 07:43:00,44
2019-12-19 07:44:00,45
2019-12-19 07:45:00,46
2019-12-19 07:46:00,48
2019-12-19 07:47:00,47
2019-12-19 07:48:00,35
2019-12-19 07:49:00,47
2019-12-19 07:50:00,50
2019-12-19 07:51:00,49
2019-12-19 07:52:00,40
2019-12-19 07:53:00,34
2019-12-19 07:54:00,27
2019-12-19 07:55:00,49
2019-12-19 07:56:00,47
2019-12-19 07:57:00,34
2019-12-19 07:58:00,39
2019-12-19 07:59:00,39
2019-12-19 08:00:00,18
2019-12-19 08:01:00,17
2019-12-19 08:02:00,32
2019-12-19 08:03:00,33
2019-12-19 08:04:00,37
2019-12-19 08:05:00,37
2019-12-19 08:06:00,35
2019-12-19 08:07:00,34
2019-12-19 08:08:00,37
2019-12-19 08:09:00,32
2019-12-19 08:10:00,34
2019-12-19 08:11:00,35
2019-12-19 08:12:00,31
2019-12-19 08:13:00,34
2019-12-19 08:14:00,30
2019-12-19 08:15:00,30
2019-12-19 08:16:00,32
2019-12-19 08:17:00,34
2019-12-19 08:18:00,40
2019-12-19 08:19:00,39
2019-12-19 08:20:00,40
2019-12-19 08:21:00,28
2019-12-19 08:22:00,39
2019-12-19 08:23:00,52
2019-12-19 08:24:00,37
2019-12-19 21:39:00,2
2019-12-19 21:40:00,10
2019-12-19 21:41:00,26
2019-12-19 21:42:00,44
2019-12-19 21:43:00,43
2019-12-19 21:44:00,46
2019-12-19 21:45:00,46
2019-12-19 21:46:00,48
2019-12-19 21:47:00,47
2019-12-19 21:48:00,52
2019-12-19 21:49:00,50
2019-12-19 21:50:00,51
2019-12-19 21:51:00,53
2019-12-19 21:52:00,50
2019-12-19 21:53:00,47
2019-12-19 21:54:00,53
2019-12-19 21:55:00,51
2019-12-19 21:56:00,44
2019-12-19 21:57:00,42
2019-12-19 21:58:00,27
2019-12-19 21:59:00,20
2019-12-19 22:00:00,38
2019-12-19 22:01:00,39
2019-12-19 22:02:00,42
2019-12-19 22:03:00,41
2019-12-19 22:04:00,39
2019-12-19 22:05:00,43
2019-12-19 22:06:00,40
2019-12-19 22:07:00,41
2019-12-19 22:08:00,40
2019-12-19 22:09:00,38
2019-12-19 22:10:00,38
2019-12-19 22:11:00,40
2019-12-19 22:12:00,39
2019-12-19 22:13:00,44
2019-12-19 22:14:00,49
2019-12-19 22:15:00,48
2019-12-19 22:16:00,45
2019-12-19 22:17:00,46
2019-12-19 22:18:00,59
2019-12-19 22:19:00,4
