102,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-12-19 01:45:00,1
2019-12-19 03:35:00,1
2019-12-19 05:10:00,1
2019-12-19 05:39:00,1
2019-12-19 06:51:00,1
2019-12-19 08:09:00,1
2019-12-19 08:12:00,1
2019-12-19 08:56:00,1
2019-12-19 09:11:00,1
2019-12-19 09:23:00,2
2019-12-19 09:24:00,1
2019-12-19 09:31:00,1
2019-12-19 09:32:00,1
2019-12-19 09:36:00,2
2019-12-19 09:40:00,1
2019-12-19 09:48:00,1
2019-12-19 09:51:00,1
2019-12-19 09:53:00,1
2019-12-19 09:56:00,1
2019-12-19 10:23:00,1
2019-12-19 11:16:00,1
2019-12-19 11:31:00,1
2019-12-19 11:35:00,1
2019-12-19 12:30:00,1
2019-12-19 13:35:00,1
2019-12-19 13:38:00,1
2019-12-19 13:41:00,1
2019-12-19 13:42:00,1
2019-12-19 13:43:00,1
2019-12-19 13:44:00,2
2019-12-19 13:46:00,2
2019-12-19 13:52:00,2
2019-12-19 13:54:00,2
2019-12-19 13:59:00,1
2019-12-19 14:04:00,1
2019-12-19 14:06:00,1
2019-12-19 14:25:00,1
2019-12-19 14:28:00,1
2019-12-19 14:39:00,1
2019-12-19 14:40:00,1
2019-12-19 14:53:00,1
2019-12-19 14:56:00,1
2019-12-19 14:59:00,1
2019-12-19 15:00:00,1
2019-12-19 15:04:00,1
2019-12-19 15:09:00,2
2019-12-19 15:19:00,1
2019-12-19 15:21:00,2
2019-12-19 15:24:00,1
2019-12-19 15:25:00,2
2019-12-19 15:26:00,2
2019-12-19 15:28:00,1
2019-12-19 15:31:00,1
2019-12-19 15:33:00,1
2019-12-19 15:38:00,2
2019-12-19 15:41:00,1
2019-12-19 15:42:00,1
2019-12-19 15:45:00,1
2019-12-19 15:49:00,1
2019-12-19 15:53:00,2
2019-12-19 15:54:00,1
2019-12-19 15:55:00,1
2019-12-19 15:56:00,1
2019-12-19 16:06:00,1
2019-12-19 16:07:00,1
2019-12-19 16:11:00,1
2019-12-19 16:14:00,2
2019-12-19 16:17:00,1
2019-12-19 16:22:00,1
2019-12-19 16:27:00,1
2019-12-19 16:33:00,1
2019-12-19 16:37:00,1
2019-12-19 16:42:00,1
2019-12-19 16:48:00,1
2019-12-19 16:53:00,1
2019-12-19 16:56:00,1
2019-12-19 16:58:00,1
2019-12-19 17:24:00,1
2019-12-19 17:38:00,1
2019-12-19 17:43:00,1
2019-12-19 17:44:00,1
2019-12-19 17:47:00,1
2019-12-19 17:50:00,1
2019-12-19 17:59:00,1
2019-12-19 18:25:00,1
2019-12-19 18:30:00,1
2019-12-19 18:35:00,1
2019-12-19 18:42:00,1
2019-12-19 18:46:00,1
