55,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-04-12 02:30:00,1
2019-04-12 02:32:00,1
2019-04-12 02:34:00,1
2019-04-12 02:42:00,1
2019-04-12 02:49:00,1
2019-04-12 02:54:00,1
2019-04-12 03:07:00,1
2019-04-12 03:12:00,1
2019-04-12 03:17:00,1
2019-04-12 03:18:00,2
2019-04-12 03:21:00,1
2019-04-12 03:22:00,1
2019-04-12 03:24:00,1
2019-04-12 03:29:00,1
2019-04-12 03:31:00,1
2019-04-12 03:36:00,1
2019-04-12 03:38:00,1
2019-04-12 03:44:00,1
2019-04-12 05:53:00,1
2019-04-12 06:05:00,1
2019-04-12 06:10:00,1
2019-04-12 06:13:00,1
2019-04-12 06:15:00,1
2019-04-12 06:16:00,1
2019-04-12 06:19:00,1
2019-04-12 06:20:00,1
2019-04-12 06:21:00,1
2019-04-12 13:56:00,2
2019-04-12 14:08:00,1
2019-04-12 14:15:00,1
2019-04-12 14:17:00,1
2019-04-12 14:18:00,1
2019-04-12 14:19:00,1
2019-04-12 14:47:00,1
2019-04-12 14:50:00,1
2019-04-12 14:51:00,1
2019-04-12 14:54:00,1
2019-04-12 15:07:00,1
2019-04-12 15:09:00,1
2019-04-12 15:11:00,1
2019-04-12 15:19:00,1
2019-04-12 15:25:00,1
2019-04-12 15:26:00,1
2019-04-12 15:27:00,1
2019-04-12 15:29:00,1
2019-04-12 21:08:00,2
2019-04-12 21:09:00,1
2019-04-12 21:10:00,2
2019-04-12 21:12:00,2
2019-04-12 21:13:00,1
