3,"SELECT    s.ra, s.dec, s.modelmag_z - s.extinction_z as magModel_z_DR7, s.fibermag_z - s.extinction_z as magFiber_z_DR7,   d.modelmag_z - d.extinction_z as magModel_z_DR1#, d.fibermag_z - d.extinction_z as magFiber_z_DR1#    INTO   myDB.mags_DR7_DR1#    FROM   DR1#.PhotoObj as d, DR7.PhoObj as s, DR1#.SpecObj as sd, DR7.SpecObj as ss    WHERE   sd.z <= # AND sd.z >= # AND   sd.plate = ss.plate AND sd.mjd = ss.mjd AND sd.fiberid = ss.fiberid AND   d.bestObjID = sd.bestObjID AND   s.bestObjID = ss.bestObjID"
2019-04-12 13:58:00,2
2019-04-12 13:59:00,1
