10,"select ra,dec,z into mydb.MyTable_# from specObj  where ra BETWEEN # and # AND   dec BETWEEN # and # AND   z BETWEEN # AND # AND   class=&&&"
2019-04-12 05:05:00,1
2019-04-12 05:06:00,2
2019-04-12 05:09:00,2
2019-04-12 05:15:00,3
2019-04-12 05:19:00,2
