27,"select a.visit_id, a.plate, a.mjd, a.fiberid, dbo.fMjdToGMT(a.mjd) as string, a.vrel, b.apogee_id from apogeeVisit a, dbo.fGetNearbyApogeeStarEq(#,#,#) b where a.apogee_id=b.apogee_id order by mjd"
2019-04-12 15:14:00,1
2019-04-12 15:32:00,2
2019-04-12 15:43:00,2
2019-04-12 15:53:00,1
2019-04-12 15:54:00,1
2019-04-12 15:57:00,2
2019-04-12 15:59:00,1
2019-04-12 16:01:00,1
2019-04-12 16:03:00,2
2019-04-12 16:07:00,5
2019-04-12 16:10:00,2
2019-04-12 16:16:00,1
2019-04-12 16:17:00,1
2019-04-12 16:20:00,1
2019-04-12 16:27:00,1
2019-04-12 16:31:00,1
2019-04-12 16:38:00,1
2019-04-12 16:40:00,1
