282,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-04-12 03:30:00,6
2019-04-12 06:02:00,4
2019-04-12 09:27:00,4
2019-04-12 09:31:00,7
2019-04-12 09:32:00,1
2019-04-12 09:33:00,8
2019-04-12 09:34:00,4
2019-04-12 09:40:00,4
2019-04-12 09:41:00,4
2019-04-12 09:42:00,8
2019-04-12 09:43:00,4
2019-04-12 09:44:00,8
2019-04-12 09:45:00,4
2019-04-12 09:46:00,8
2019-04-12 09:47:00,4
2019-04-12 11:28:00,4
2019-04-12 18:00:00,2
2019-04-12 18:01:00,2
2019-04-12 18:02:00,5
2019-04-12 18:03:00,3
2019-04-12 18:04:00,5
2019-04-12 18:05:00,1
2019-04-12 18:06:00,8
2019-04-12 18:07:00,10
2019-04-12 18:08:00,12
2019-04-12 18:09:00,6
2019-04-12 18:10:00,2
2019-04-12 18:11:00,2
2019-04-12 18:12:00,2
2019-04-12 18:13:00,4
2019-04-12 18:14:00,10
2019-04-12 18:15:00,4
2019-04-12 18:17:00,4
2019-04-12 18:18:00,2
2019-04-12 18:19:00,2
2019-04-12 18:20:00,4
2019-04-12 18:21:00,4
2019-04-12 18:23:00,6
2019-04-12 18:24:00,4
2019-04-12 18:25:00,6
2019-04-12 18:26:00,2
2019-04-12 18:27:00,2
2019-04-12 18:28:00,8
2019-04-12 18:29:00,10
2019-04-12 18:30:00,2
2019-04-12 18:31:00,4
2019-04-12 18:32:00,6
2019-04-12 18:33:00,12
2019-04-12 18:34:00,8
2019-04-12 18:35:00,10
2019-04-12 18:36:00,4
2019-04-12 18:37:00,4
2019-04-12 18:38:00,1
2019-04-12 18:39:00,1
2019-04-12 18:40:00,4
2019-04-12 18:41:00,4
2019-04-12 18:42:00,4
2019-04-12 18:45:00,4
