31,"select ra, dec, run, rerun, camcol, field from Field where (ra between # and #) and (dec between # and #)"
2019-04-12 14:47:00,1
2019-04-12 14:54:00,1
2019-04-12 15:28:00,1
2019-04-12 15:29:00,2
2019-04-12 15:30:00,1
2019-04-12 15:31:00,1
2019-04-12 15:32:00,1
2019-04-12 15:33:00,2
2019-04-12 15:34:00,1
2019-04-12 16:00:00,1
2019-04-12 16:20:00,1
2019-04-12 16:24:00,2
2019-04-12 16:47:00,1
2019-04-12 16:50:00,1
2019-04-12 16:56:00,2
2019-04-12 16:58:00,1
2019-04-12 17:00:00,3
2019-04-12 17:07:00,1
2019-04-12 17:12:00,1
2019-04-12 17:16:00,1
2019-04-12 17:22:00,1
2019-04-12 17:31:00,1
2019-04-12 17:32:00,1
2019-04-12 17:34:00,2
