19,"SELECT TOP # specObjID, survey, bestobjid, z /*Table of top A random objects with redshift, survey they are in, and object ID for searching*/  FROM SpecObj /*Objects with spectra*/ WHERE class = &&& /* The objects shown will all be QSO&&&sdss&&&boss') /*searching across both the legacy and boss surveys (and not other surveys) */ order by newid() /* This is the randomisation algorithm */"
2019-04-04 14:59:00,1
2019-04-04 15:02:00,1
2019-04-04 15:04:00,1
2019-04-04 15:05:00,1
2019-04-04 15:06:00,1
2019-04-04 15:08:00,1
2019-04-04 15:09:00,2
2019-04-04 15:10:00,1
2019-04-04 15:11:00,1
2019-04-04 15:13:00,1
2019-04-04 15:14:00,2
2019-04-04 16:17:00,3
2019-04-04 16:18:00,2
2019-04-04 16:19:00,1
