352,"select s.ObjID, s.ra,s.dec,s.deVRad_r,s.deVAB_r,s.raErr,s.decErr,s.type,s.modelMag_u,s.modelMagErr_u,s.modelMag_g,s.modelMagErr_g,s.modelMag_r,s.modelMagErr_r,s.modelMag_i,s.modelMagErr_i,s.modelMag_z,s.modelMagErr_z from PhotoPrimary s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-04-04 00:01:00,1
2019-04-04 00:03:00,1
2019-04-04 00:05:00,1
2019-04-04 00:07:00,1
2019-04-04 00:09:00,1
2019-04-04 00:12:00,1
2019-04-04 00:14:00,1
2019-04-04 00:16:00,1
2019-04-04 00:18:00,1
2019-04-04 00:21:00,1
2019-04-04 00:23:00,1
2019-04-04 00:26:00,1
2019-04-04 00:27:00,1
2019-04-04 00:30:00,1
2019-04-04 00:33:00,1
2019-04-04 00:35:00,1
2019-04-04 00:38:00,1
2019-04-04 00:41:00,1
2019-04-04 00:43:00,1
2019-04-04 00:46:00,1
2019-04-04 00:48:00,1
2019-04-04 00:51:00,1
2019-04-04 00:54:00,1
2019-04-04 00:56:00,1
2019-04-04 00:58:00,1
2019-04-04 01:03:00,1
2019-04-04 01:06:00,1
2019-04-04 01:10:00,1
2019-04-04 01:13:00,1
2019-04-04 01:15:00,1
2019-04-04 01:19:00,1
2019-04-04 01:21:00,1
2019-04-04 01:24:00,1
2019-04-04 01:26:00,1
2019-04-04 01:42:00,1
2019-04-04 02:25:00,1
2019-04-04 02:28:00,1
2019-04-04 02:31:00,1
2019-04-04 02:34:00,1
2019-04-04 02:37:00,1
2019-04-04 02:40:00,1
2019-04-04 02:42:00,1
2019-04-04 02:45:00,1
2019-04-04 02:48:00,1
2019-04-04 02:51:00,1
2019-04-04 02:54:00,1
2019-04-04 02:57:00,1
2019-04-04 03:00:00,1
2019-04-04 03:04:00,1
2019-04-04 03:06:00,1
2019-04-04 03:09:00,1
2019-04-04 03:14:00,1
2019-04-04 03:17:00,1
2019-04-04 03:21:00,1
2019-04-04 03:24:00,1
2019-04-04 03:27:00,1
2019-04-04 03:29:00,1
2019-04-04 03:31:00,1
2019-04-04 03:34:00,1
2019-04-04 03:38:00,1
2019-04-04 03:40:00,1
2019-04-04 03:43:00,1
2019-04-04 03:46:00,1
2019-04-04 03:49:00,1
2019-04-04 03:51:00,1
2019-04-04 04:11:00,1
2019-04-04 04:15:00,1
2019-04-04 04:17:00,1
2019-04-04 04:20:00,1
2019-04-04 04:22:00,1
2019-04-04 04:24:00,1
2019-04-04 04:26:00,1
2019-04-04 04:29:00,1
2019-04-04 04:33:00,1
2019-04-04 04:35:00,1
2019-04-04 04:38:00,1
2019-04-04 04:44:00,1
2019-04-04 04:47:00,1
2019-04-04 04:53:00,1
2019-04-04 04:55:00,1
2019-04-04 04:59:00,1
2019-04-04 05:07:00,1
2019-04-04 05:10:00,1
2019-04-04 05:12:00,1
2019-04-04 05:14:00,1
2019-04-04 05:16:00,1
