162,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-04-04 00:30:00,1
2019-04-04 00:33:00,1
2019-04-04 00:58:00,1
2019-04-04 01:27:00,1
2019-04-04 02:01:00,1
2019-04-04 02:28:00,1
2019-04-04 03:00:00,1
2019-04-04 03:27:00,1
2019-04-04 03:59:00,1
2019-04-04 04:27:00,1
2019-04-04 04:58:00,1
2019-04-04 05:26:00,1
2019-04-04 05:58:00,1
2019-04-04 06:26:00,1
2019-04-04 06:57:00,1
2019-04-04 07:27:00,1
2019-04-04 07:59:00,1
2019-04-04 08:27:00,1
2019-04-04 08:58:00,1
2019-04-04 09:13:00,7
2019-04-04 09:25:00,1
2019-04-04 09:27:00,1
2019-04-04 09:38:00,1
2019-04-04 09:44:00,9
2019-04-04 09:58:00,1
2019-04-04 10:57:00,1
2019-04-04 11:59:00,1
2019-04-04 12:12:00,9
2019-04-04 12:58:00,1
2019-04-04 13:27:00,1
2019-04-04 13:57:00,1
2019-04-04 13:59:00,9
2019-04-04 14:27:00,1
2019-04-04 14:53:00,9
2019-04-04 14:58:00,1
2019-04-04 15:22:00,9
2019-04-04 16:00:00,1
2019-04-04 16:25:00,1
2019-04-04 16:29:00,1
2019-04-04 16:42:00,6
2019-04-04 16:43:00,1
2019-04-04 16:58:00,1
2019-04-04 17:18:00,7
2019-04-04 17:27:00,1
2019-04-04 17:58:00,1
2019-04-04 18:16:00,13
2019-04-04 18:17:00,1
2019-04-04 18:27:00,1
2019-04-04 18:40:00,9
2019-04-04 18:54:00,14
2019-04-04 18:57:00,9
2019-04-04 18:58:00,1
2019-04-04 19:05:00,1
2019-04-04 19:27:00,1
2019-04-04 19:58:00,1
2019-04-04 20:03:00,9
