17,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #  AND s.class=&&&  AND s.subclass=&&&"
2019-04-04 07:57:00,1
2019-04-04 08:01:00,1
2019-04-04 08:29:00,3
2019-04-04 08:52:00,1
2019-04-04 08:53:00,1
2019-04-04 09:05:00,1
2019-04-04 13:43:00,1
2019-04-04 14:01:00,1
2019-04-04 14:02:00,3
2019-04-04 14:04:00,2
2019-04-04 14:06:00,1
2019-04-04 14:08:00,1
