85,"SELECT count(*) as &&&,         sum(case when (Type=#) then # else # end) as &&&,         sum(case when (Type=#) then # else # end) as &&&,         sum(case when (Type not in (#,#)) then # else # end) as &&&     FROM PhotoPrimary      WHERE (b between # and #) and (l between # and #)"
2019-04-04 09:11:00,11
2019-04-04 09:12:00,4
2019-04-04 09:13:00,36
2019-04-04 09:14:00,17
2019-04-04 10:43:00,17
