171,"SELECT # as &&&,         sum(case when (Type=#) then # else # end) as &&&,         sum(case when (Type=#) then # else # end) as &&&,         sum(case when (Type not in (#,#)) then # else # end) as &&&     FROM PhotoPrimary         WHERE (b between # and #) and (l between # and #)"
2019-04-04 09:31:00,1
2019-04-04 09:36:00,17
2019-04-04 09:38:00,30
2019-04-04 09:39:00,4
2019-04-04 09:50:00,17
2019-04-04 09:52:00,17
2019-04-04 10:23:00,17
2019-04-04 10:43:00,18
2019-04-04 10:44:00,16
2019-04-04 10:50:00,17
2019-04-04 15:13:00,17
