3,"SELECT STR(z,#,#) z, ra, decFROM specObjWHERE specClass=# AND dec BETWEEN # AND # AND ra BETWEEN # AND # AND z BETWEEN # AND #"
2019-04-04 21:10:00,1
2019-04-04 22:07:00,1
2019-04-04 22:09:00,1
