4,"SELECT    p.objid,p.ra,p.dec,p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,   s.class,s.subclass, s.z,g.specObjID , s.specObjID, s.z as redshift,   g.h_beta_flux, g.oiii_#_flux, g.h_alpha_flux, g.nii_#_flux into S0_GZ_with_data from dr1#.PhotoObjAll AS p     JOIN dr1#.SpecObj AS s ON s.bestobjid = p.objid     JOIN MyDB.S0_galaxies_GZ2 AS m ON m.dr8objid = p.objid   JOIN dr1#.galSpecLine AS g ON s.specObjID = g.specObjID"
2019-04-04 06:44:00,1
2019-04-04 06:45:00,1
2019-04-04 06:49:00,2
