48,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.ra between # and # and  p.dec between # and #"
2019-10-31 14:49:00,1
2019-10-31 15:29:00,1
2019-10-31 15:54:00,1
2019-10-31 16:05:00,1
2019-10-31 16:17:00,1
2019-10-31 18:35:00,1
2019-10-31 18:36:00,1
2019-10-31 18:52:00,6
2019-10-31 18:53:00,1
2019-10-31 19:00:00,4
2019-10-31 19:01:00,2
2019-10-31 19:25:00,1
2019-10-31 19:26:00,3
2019-10-31 19:31:00,1
2019-10-31 19:49:00,1
2019-10-31 20:47:00,1
2019-10-31 21:04:00,1
2019-10-31 21:15:00,1
2019-10-31 21:16:00,1
2019-10-31 21:17:00,1
2019-10-31 21:32:00,1
2019-10-31 21:44:00,1
2019-10-31 21:48:00,1
2019-10-31 21:49:00,1
2019-10-31 21:57:00,1
2019-10-31 22:24:00,3
2019-10-31 22:48:00,2
2019-10-31 22:49:00,2
2019-10-31 22:50:00,1
2019-10-31 22:59:00,1
2019-10-31 23:28:00,1
2019-10-31 23:34:00,1
2019-10-31 23:35:00,1
