42,"SELECT  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  s.specobjid, s.class, s.z as redshift  FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid  WHERE   p.ra between # and # and  p.dec between # and #"
2019-10-31 03:09:00,1
2019-10-31 03:10:00,1
2019-10-31 03:12:00,2
2019-10-31 03:13:00,1
2019-10-31 03:14:00,1
2019-10-31 04:38:00,2
2019-10-31 04:42:00,3
2019-10-31 04:43:00,9
2019-10-31 04:44:00,3
2019-10-31 04:46:00,1
2019-10-31 04:47:00,1
2019-10-31 04:48:00,1
2019-10-31 06:05:00,2
2019-10-31 06:06:00,5
2019-10-31 06:09:00,1
2019-10-31 06:10:00,4
2019-10-31 19:50:00,1
2019-10-31 19:54:00,1
2019-10-31 20:32:00,1
2019-10-31 21:58:00,1
