132,"SELECT p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid,GN.distance, dbo.fCosmoDA(s.z,#, #,#e-#,#,#)*GN.distance*#/#/# as rho, ms.mstellar_median as logMass,ms.mstellar_err as logMass_err FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON p.objID = GN.objID JOIN stellarMassPCAWiscM1# as ms ON s.specobjid=ms.specobjid WHERE ms.mstellar_median>#"
2019-10-31 20:35:00,1
2019-10-31 20:37:00,1
2019-10-31 20:43:00,1
2019-10-31 20:49:00,1
2019-10-31 20:51:00,2
2019-10-31 20:53:00,1
2019-10-31 20:58:00,1
2019-10-31 21:00:00,1
2019-10-31 21:01:00,1
2019-10-31 21:02:00,1
2019-10-31 21:04:00,2
2019-10-31 21:05:00,1
2019-10-31 21:06:00,1
2019-10-31 21:07:00,1
2019-10-31 21:08:00,1
2019-10-31 21:09:00,1
2019-10-31 21:10:00,1
2019-10-31 21:13:00,1
2019-10-31 21:15:00,1
2019-10-31 21:17:00,1
2019-10-31 21:20:00,1
2019-10-31 21:21:00,1
2019-10-31 21:23:00,1
2019-10-31 21:24:00,1
2019-10-31 21:25:00,1
2019-10-31 21:26:00,2
2019-10-31 21:28:00,1
2019-10-31 21:31:00,1
2019-10-31 21:35:00,1
2019-10-31 21:36:00,1
2019-10-31 21:38:00,1
2019-10-31 21:42:00,1
2019-10-31 21:43:00,2
2019-10-31 21:44:00,1
2019-10-31 21:45:00,1
2019-10-31 21:47:00,2
2019-10-31 21:48:00,2
2019-10-31 21:49:00,1
2019-10-31 21:51:00,1
2019-10-31 21:52:00,1
2019-10-31 21:54:00,1
2019-10-31 21:56:00,1
2019-10-31 21:58:00,1
2019-10-31 21:59:00,1
2019-10-31 22:00:00,1
2019-10-31 22:01:00,1
2019-10-31 22:03:00,1
2019-10-31 22:04:00,1
2019-10-31 22:05:00,1
2019-10-31 22:06:00,1
2019-10-31 22:07:00,1
2019-10-31 22:08:00,1
2019-10-31 22:09:00,2
2019-10-31 22:11:00,1
2019-10-31 22:12:00,1
2019-10-31 22:13:00,1
2019-10-31 22:15:00,1
2019-10-31 22:16:00,1
2019-10-31 22:18:00,1
2019-10-31 22:20:00,1
2019-10-31 22:21:00,1
2019-10-31 22:22:00,1
2019-10-31 22:26:00,1
2019-10-31 22:28:00,1
2019-10-31 22:30:00,1
2019-10-31 22:31:00,1
2019-10-31 22:33:00,1
2019-10-31 22:34:00,1
2019-10-31 22:35:00,1
2019-10-31 22:36:00,1
2019-10-31 22:37:00,1
2019-10-31 22:38:00,1
2019-10-31 22:41:00,1
2019-10-31 22:43:00,1
2019-10-31 22:44:00,2
2019-10-31 22:45:00,1
2019-10-31 22:46:00,1
2019-10-31 22:48:00,3
2019-10-31 22:50:00,2
2019-10-31 22:53:00,1
2019-10-31 22:54:00,1
2019-10-31 22:55:00,2
2019-10-31 22:56:00,1
2019-10-31 22:57:00,1
2019-10-31 22:58:00,2
2019-10-31 23:04:00,1
2019-10-31 23:06:00,1
2019-10-31 23:10:00,1
2019-10-31 23:12:00,1
2019-10-31 23:13:00,1
2019-10-31 23:17:00,1
2019-10-31 23:19:00,2
2019-10-31 23:22:00,1
2019-10-31 23:24:00,1
2019-10-31 23:25:00,1
2019-10-31 23:27:00,1
2019-10-31 23:29:00,1
2019-10-31 23:30:00,1
2019-10-31 23:31:00,1
2019-10-31 23:35:00,1
2019-10-31 23:37:00,1
2019-10-31 23:39:00,1
2019-10-31 23:40:00,2
2019-10-31 23:45:00,2
2019-10-31 23:46:00,1
2019-10-31 23:47:00,1
2019-10-31 23:48:00,1
2019-10-31 23:51:00,1
2019-10-31 23:52:00,1
2019-10-31 23:54:00,1
2019-10-31 23:56:00,2
2019-10-31 23:57:00,2
2019-10-31 23:58:00,1
2019-10-31 23:59:00,1
