2560,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-31 12:30:00,71
2019-10-31 12:31:00,66
2019-10-31 12:32:00,255
2019-10-31 12:34:00,89
2019-10-31 12:35:00,89
2019-10-31 12:38:00,63
2019-10-31 12:39:00,237
2019-10-31 12:40:00,275
2019-10-31 12:41:00,197
2019-10-31 12:42:00,168
2019-10-31 12:43:00,114
2019-10-31 12:44:00,65
2019-10-31 12:45:00,74
2019-10-31 12:46:00,236
2019-10-31 12:47:00,94
2019-10-31 12:48:00,59
2019-10-31 12:49:00,32
2019-10-31 12:50:00,28
2019-10-31 12:51:00,95
2019-10-31 12:52:00,66
2019-10-31 12:54:00,37
2019-10-31 12:55:00,150
