1595,"SELECT objID,ra,dec,raErr,decErr,&&& AS errpa,psffwhm_r,psffwhm_r,&&& AS psfpa FROM Star WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ((flags_r & #) != #) AND ((flags_r & #) = #) AND (((flags_r & #) = #) or (psfmagerr_r <= #)) AND (((flags_r & #) = #) or (flags_r & #) = #)"
2019-10-31 18:22:00,1
2019-10-31 18:23:00,1
2019-10-31 18:55:00,1
2019-10-31 18:56:00,1
2019-10-31 18:57:00,1
2019-10-31 19:03:00,1
2019-10-31 19:22:00,1
2019-10-31 19:42:00,1
2019-10-31 19:45:00,1
2019-10-31 20:53:00,2
2019-10-31 21:12:00,2
2019-10-31 21:14:00,1
2019-10-31 21:15:00,12
2019-10-31 21:16:00,41
2019-10-31 21:17:00,22
2019-10-31 21:18:00,27
2019-10-31 21:19:00,32
2019-10-31 21:20:00,49
2019-10-31 21:21:00,45
2019-10-31 21:22:00,38
2019-10-31 21:23:00,40
2019-10-31 21:24:00,43
2019-10-31 21:25:00,49
2019-10-31 21:26:00,46
2019-10-31 21:27:00,58
2019-10-31 21:28:00,55
2019-10-31 21:29:00,52
2019-10-31 21:30:00,58
2019-10-31 21:31:00,56
2019-10-31 21:32:00,65
2019-10-31 21:33:00,63
2019-10-31 21:34:00,64
2019-10-31 21:35:00,61
2019-10-31 21:36:00,62
2019-10-31 21:37:00,65
2019-10-31 21:38:00,72
2019-10-31 21:39:00,73
2019-10-31 21:40:00,63
2019-10-31 21:41:00,69
2019-10-31 21:42:00,74
2019-10-31 21:43:00,72
2019-10-31 21:44:00,34
2019-10-31 21:45:00,18
2019-10-31 21:46:00,3
