69,"SELECT top # ra,dec,u,g,r,i,z,GNOE.distance*# FROM PhotoObj as PT JOIN dbo.fGetNearbyObjEq(#,#,#) as GNOE on PT.objID = GNOE.objID ORDER BY GNOE.distance"
2019-10-31 00:03:00,1
2019-10-31 00:05:00,1
2019-10-31 00:10:00,1
2019-10-31 00:11:00,1
2019-10-31 00:16:00,2
2019-10-31 00:17:00,1
2019-10-31 00:19:00,1
2019-10-31 00:21:00,1
2019-10-31 00:27:00,1
2019-10-31 00:30:00,1
2019-10-31 00:34:00,1
2019-10-31 00:35:00,1
2019-10-31 00:37:00,1
2019-10-31 00:38:00,1
2019-10-31 00:39:00,1
2019-10-31 00:40:00,1
2019-10-31 00:43:00,1
2019-10-31 00:50:00,1
2019-10-31 00:52:00,1
2019-10-31 00:55:00,1
2019-10-31 00:57:00,1
2019-10-31 00:59:00,1
2019-10-31 01:00:00,1
2019-10-31 01:43:00,1
2019-10-31 01:45:00,2
2019-10-31 01:49:00,1
2019-10-31 01:52:00,1
2019-10-31 01:54:00,1
2019-10-31 01:59:00,2
2019-10-31 02:00:00,1
2019-10-31 02:01:00,2
2019-10-31 02:02:00,1
2019-10-31 02:04:00,1
2019-10-31 02:06:00,1
2019-10-31 02:08:00,1
2019-10-31 02:09:00,1
2019-10-31 02:11:00,1
2019-10-31 02:13:00,1
2019-10-31 02:30:00,1
2019-10-31 02:34:00,1
2019-10-31 02:45:00,1
2019-10-31 02:48:00,1
2019-10-31 02:49:00,1
2019-10-31 02:50:00,2
2019-10-31 02:51:00,1
2019-10-31 02:53:00,1
2019-10-31 03:00:00,1
2019-10-31 03:01:00,1
2019-10-31 03:02:00,1
2019-10-31 03:04:00,1
2019-10-31 03:07:00,1
2019-10-31 03:20:00,1
2019-10-31 03:30:00,1
2019-10-31 03:31:00,1
2019-10-31 03:36:00,1
2019-10-31 12:20:00,1
2019-10-31 13:48:00,1
2019-10-31 13:50:00,3
2019-10-31 14:22:00,1
2019-10-31 14:29:00,1
2019-10-31 14:32:00,1
2019-10-31 14:36:00,1
