25,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from star p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid"
2019-10-31 16:16:00,1
2019-10-31 16:43:00,1
2019-10-31 16:44:00,1
2019-10-31 19:29:00,1
2019-10-31 19:30:00,1
2019-10-31 19:32:00,1
2019-10-31 19:37:00,1
2019-10-31 19:40:00,1
2019-10-31 19:42:00,1
2019-10-31 21:47:00,1
2019-10-31 21:49:00,2
2019-10-31 21:50:00,1
2019-10-31 21:51:00,1
2019-10-31 21:52:00,2
2019-10-31 21:53:00,3
2019-10-31 21:54:00,2
2019-10-31 21:55:00,1
2019-10-31 21:58:00,1
2019-10-31 21:59:00,1
2019-10-31 22:07:00,1
